trace_index,kernel,task_type,task_id,stream_id,device_start_us,device_duration_us,phase,host_operator,host_ancestry,host_start_us,host_duration_us,torch_flow_id,cann_flow_id,cann_launch,cann_connection_verified,kernel_csv_verified,route
9053,PROFILING_ENABLE,PROFILING_ENABLE,12,49,1790085076492710.724,0.0,profiler_control,,[],,,,,,False,False,profiler_control
10437,MEMCPY_ASYNC,PCIE_DMA_SQE,1300,46,1790085076508253.986,2.7,step=3,acl_memcpy_host_to_device,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""acl_memcpy_host_to_device""]",1790085076508195.886,7.415,1790085076508253986,6481105649664,AscendCL@aclrtMemcpyAsync,True,False,runtime_copy
10439,MEMCPY_ASYNC,PCIE_DMA_SQE,1301,46,1790085076508261.266,2.7005,step=3,acl_memcpy_host_to_device,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""acl_memcpy_host_to_device""]",1790085076508235.272,1.767,1790085076508261266,6489695584256,AscendCL@aclrtMemcpyAsync,True,False,runtime_copy
10441,MEMCPY_ASYNC,PCIE_DMA_SQE,1302,46,1790085076508267.666,2.68,step=3,acl_memcpy_host_to_device,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""acl_memcpy_host_to_device""]",1790085076508248.184,1.426,1790085076508267666,6498285518848,AscendCL@aclrtMemcpyAsync,True,False,runtime_copy
10443,MEMCPY_ASYNC,PCIE_DMA_SQE,1303,46,1790085076508409.232,3.32,step=3,acl_memcpy_host_to_device,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::to"", ""aten::_to_copy"", ""aten::copy_"", ""acl_memcpy_host_to_device""]",1790085076508354.038,9.307,1790085076508409232,6511170420736,AscendCL@aclrtMemcpyAsync,True,False,runtime_copy
9054,EVENT_RECORD,EVENT_RECORD,1304,46,1790085076508416.512,0.02,step=3,record_event,"[""P09/step=3/NPUModelRunner.execute_model"", ""record_event""]",1790085076508399.951,3.164,1790085076508416512,6515465388032,AscendCL@aclrtRecordEvent,True,False,runtime_event
10445,MEMCPY_ASYNC,PCIE_DMA_SQE,1305,46,1790085076508479.315,2.76,step=3,acl_memcpy_host_to_device,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""acl_memcpy_host_to_device""]",1790085076508435.199,2.089,1790085076508479315,6524055322624,AscendCL@aclrtMemcpyAsync,True,False,runtime_copy
10447,MEMCPY_ASYNC,PCIE_DMA_SQE,1306,46,1790085076508581.999,2.76,step=3,acl_memcpy_host_to_device,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""acl_memcpy_host_to_device""]",1790085076508556.441,2.448,1790085076508581999,6532645257216,AscendCL@aclrtMemcpyAsync,True,False,runtime_copy
9056,aclnnInplaceFillScalar_FillAiCore_Fill,AI_VECTOR_CORE,1307,46,1790085076508658.982,1.02,step=3,aclnnInplaceFillScalar,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::fill_"", ""aclnnInplaceFillScalar""]",1790085076508619.829,3.108,1790085076508658982,6549825126400,Node@launch,True,True,aten_to_aclnn
10449,MEMCPY_ASYNC,PCIE_DMA_SQE,1308,46,1790085076508666.442,2.74,step=3,acl_memcpy_host_to_device,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""acl_memcpy_host_to_device""]",1790085076508631.032,0.873,1790085076508666442,6558415060992,AscendCL@aclrtMemcpyAsync,True,False,runtime_copy
10451,MEMCPY_ASYNC,PCIE_DMA_SQE,1309,46,1790085076508686.823,2.7605,step=3,acl_memcpy_host_to_device,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""acl_memcpy_host_to_device""]",1790085076508672.658,2.22,1790085076508686823,6567004995584,AscendCL@aclrtMemcpyAsync,True,False,runtime_copy
9058,aclnnInplaceFillScalar_FillAiCore_Fill,AI_VECTOR_CORE,1310,46,1790085076508698.984,0.96,step=3,aclnnInplaceFillScalar,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::fill_"", ""aclnnInplaceFillScalar""]",1790085076508683.080,5.995,1790085076508698984,6579889897472,Node@launch,True,True,aten_to_aclnn
