name,calls,calls_with_direct_flow,calls_with_descendant_flow,calls_without_correlated_device_task,unique_descendant_device_tasks
Event::record,2,0,2,0,2
Event::synchronize,2,0,0,2,0
P09/step=3/AscendAttentionBackendImpl.forward,1,0,1,0,5
P09/step=3/AscendAttentionBackendImpl.forward_fused_infer_attention,1,0,1,0,3
P09/step=3/AscendAttentionBackendImpl.forward_impl,1,0,1,0,3
P09/step=3/AscendAttentionBackendImpl.reshape_and_cache,1,0,1,0,2
P09/step=3/BaseDeviceAdaptor.reshape_and_cache,1,0,1,0,2
P09/step=3/NPUModelRunner._model_forward,1,0,1,0,387
P09/step=3/NPUModelRunner.execute_model,1,0,1,0,419
P09/step=4/AscendAttentionBackendImpl.forward,1,0,1,0,3
P09/step=4/AscendAttentionBackendImpl.forward_fused_infer_attention,1,0,1,0,2
P09/step=4/AscendAttentionBackendImpl.forward_impl,1,0,1,0,2
P09/step=4/AscendAttentionBackendImpl.reshape_and_cache,1,0,1,0,1
P09/step=4/BaseDeviceAdaptor.reshape_and_cache,1,0,1,0,1
P09/step=4/NPUModelRunner._model_forward,1,0,1,0,291
P09/step=4/NPUModelRunner.execute_model,1,0,1,0,318
ReshapeCacheOperation,48,48,48,0,48
_C_ascend::npu_add_rms_norm_bias,96,0,96,0,96
_compute_slot_mapping_kernel,2,2,2,0,2
_triton_rope,48,48,48,0,48
acl_memcpy_device_to_host,2,2,2,0,2
acl_memcpy_host_to_device,23,23,23,0,23
aclnnAdd,4,4,4,0,4
aclnnAddRmsNormBias,96,96,96,0,96
aclnnAddmm,48,48,48,0,96
aclnnArgMax,2,2,2,0,4
aclnnEmbedding,2,2,2,0,2
aclnnEqScalar,2,1,1,1,1
aclnnFusedInferAttentionScoreV3,48,48,48,0,72
aclnnGtScalar,4,4,4,0,8
aclnnIndex,4,4,4,0,4
aclnnIndexSelect,4,4,4,0,4
aclnnInplaceCopy,184,136,136,48,136
aclnnInplaceFillScalar,10,4,4,6,4
aclnnInplaceMaskedFillScalar,2,1,1,1,1
aclnnInplaceZero,4,4,4,0,4
aclnnMatmul,146,146,146,0,146
aclnnRepeat,4,4,4,0,4
aclnnRmsNorm,2,2,2,0,2
aclnnSubs,2,2,2,0,2
aclnnSwiGlu,48,48,48,0,48
apply_all_penalties_kernel,2,2,2,0,2
atb::_npu_reshape_and_cache,48,0,48,0,72
aten::_local_scalar_dense,5,0,0,5,0
aten::_pin_memory,2,0,0,2,0
aten::_to_copy,15,0,12,3,12
aten::add,6,0,4,2,4
aten::addmm,48,0,48,0,96
aten::alias,2,0,0,2,0
aten::any,1,0,0,1,0
aten::argmax,5,0,4,1,4
aten::as_strided,817,0,0,817,0
aten::chunk,4,0,0,4,0
aten::clone,72,0,72,0,72
aten::contiguous,72,0,72,0,72
aten::copy_,219,0,161,58,161
aten::detach,5,0,0,5,0
aten::embedding,2,0,2,0,2
aten::empty,443,0,0,443,0
aten::empty_strided,7,0,0,7,0
aten::eq,2,0,1,1,1
aten::expand,4,0,0,4,0
aten::fill_,15,0,4,11,4
aten::flatten,2,0,0,2,0
aten::gt,5,0,4,1,8
aten::index,4,0,4,0,4
aten::index_select,6,0,4,2,4
aten::is_nonzero,1,0,0,1,0
aten::is_pinned,4,0,0,4,0
aten::item,5,0,0,5,0
aten::lift_fresh,10,0,0,10,0
aten::linear,194,0,194,0,242
aten::lt,2,0,0,2,0
aten::masked_fill_,2,0,1,1,1
aten::matmul,146,0,146,0,146
aten::narrow,8,0,0,8,0
aten::pin_memory,4,0,0,4,0
aten::repeat,4,0,4,0,4
aten::reshape,2,0,0,2,0
aten::resolve_conj,11,0,0,11,0
aten::resolve_neg,11,0,0,11,0
aten::select,1,0,0,1,0
aten::set_,2,0,0,2,0
aten::slice,472,0,0,472,0
aten::split,4,0,0,4,0
aten::split_with_sizes,48,0,0,48,0
aten::sub,3,0,2,1,2
aten::t,194,0,0,194,0
aten::to,25,0,12,13,12
aten::transpose,194,0,0,194,0
aten::unsqueeze,2,0,0,2,0
aten::view,543,0,0,543,0
aten::view_as,1,0,0,1,0
aten::zero_,4,0,4,0,4
aten::zeros,4,0,4,0,4
empty_tensor,991,0,0,991,0
npu::npu_fused_infer_attention_score,48,0,48,0,72
npu::npu_rms_norm,2,0,2,0,2
npu::npu_swiglu,48,0,48,0,48
record_event,4,4,4,0,4
token_bin_counts_and_mask_kernel,3,3,3,0,3
vllm::maybe_chunk_residual,96,0,0,96,0
vllm::maybe_pad_and_reduce,2,0,0,2,0
vllm::npu_rotary_embedding,48,0,48,0,96
vllm::unified_attention_with_output,48,0,48,0,192
vllm::unquantized_gemm,192,0,192,0,240
