Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,ReshapeAndCacheOperation::Execute,593.407,48,12.363,7.862,37.575,44.713
host,acl,ReshapeAndCacheOperation::Setup,409.602,48,8.533,3.461,51.17,92.216
host,acl,Slice_Tiling,80.103,24,3.338,1.612,19.934,19.16
host,acl,aclmdlRICaptureGetInfo,29.097,96,0.303,0.086,1.19,0.048
host,acl,aclnnAdd,22.291,4,5.573,3.543,9.313,5.275
host,acl,aclnnAddRmsNormBias,603.945,96,6.291,4.599,29.011,6.943
host,acl,aclnnAddRmsNormBiasGetWorkspaceSize,461.447,96,4.807,2.143,46.563,54.881
host,acl,aclnnAddRmsNormBiasTiling,41.222,4,10.306,4.17,23.958,64.35
host,acl,aclnnAddmm,288.117,48,6.002,4.527,13.136,2.604
host,acl,aclnnArgMax,20.48,2,10.24,9.147,11.333,1.195
host,acl,aclnnContiguous,331.666,24,13.819,9.611,49.226,89.337
host,acl,aclnnContiguousGetWorkspaceSize,387.849,24,16.16,13.803,37.1,22.731
host,acl,aclnnEmbedding,12.814,2,6.407,5.035,7.779,1.882
host,acl,aclnnEqScalar,6.753,2,3.376,0.741,6.012,6.946
host,acl,aclnnGtScalar,27.447,4,6.862,4.216,8.765,3.471
host,acl,aclnnIndex,26.756,4,6.689,6.18,7.662,0.336
host,acl,aclnnIndexSelect,22.931,4,5.733,3.754,8.176,3.184
host,acl,aclnnInnerFusedInferAttentionScore,1500.523,48,31.261,17.326,95.914,273.453
host,acl,aclnnInnerFusedInferAttentionScoreGetWorkspaceSize,1046.26,48,21.797,5.502,125.38,552.415
host,acl,aclnnInnerFusedInferAttentionScoreTiling,56.813,2,28.407,21.057,35.756,54.015
host,acl,aclnnInplaceCopy,576.537,184,3.133,0.64,12.486,3.969
host,acl,aclnnInplaceCopyGetWorkspaceSize,396.254,102,3.885,1.335,23.682,9.759
host,acl,aclnnInplaceFillScalar,46.143,10,4.614,0.382,22.426,43.004
host,acl,aclnnInplaceMaskedFillScalar,22.292,2,11.146,0.599,21.693,111.239
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,18.062,1,18.062,18.062,18.062,0
host,acl,aclnnInplaceZero,18.559,4,4.64,3.074,6.478,2.185
host,acl,aclnnMatmul,613.74,146,4.204,2.972,24.713,5.331
host,acl,aclnnRepeat,20.489,4,5.122,3.785,7.668,2.251
host,acl,aclnnRmsNorm,25.415,2,12.708,6.399,19.016,39.797
host,acl,aclnnRmsNormGetWorkspaceSize,26.985,2,13.493,8.748,18.237,22.51
host,acl,aclnnSubs,11.416,2,5.708,3.561,7.855,4.61
host,acl,aclnnSwiGlu,304.46,48,6.343,3.933,51.671,48.217
host,acl,aclnnSwiGluGetWorkspaceSize,182.083,48,3.793,1.997,57.821,62.27
host,acl,aclnnSwiGluTiling,14.675,1,14.675,14.675,14.675,0
host,acl,aclrtGetResInCurrentThread,110.233,642,0.172,0.095,1.598,0.014
host,acl,aclrtGetStreamAttribute,90.094,640,0.141,0.089,1.16,0.005
host,acl,aclrtLaunchKernelWithHostArgs,2090.609,584,3.58,1.158,45.603,21.581
host,acl,aclrtMemcpyAsync,184.715,77,2.399,1.205,13.562,2.807
host,acl,aclrtMemcpyAsyncWithCondition,6.977,2,3.489,2.607,4.37,0.777
host,acl,aclrtPointerGetAttributes,166.265,249,0.668,0.181,4.47,0.634
host,acl,aclrtQueryEventStatus,4.466,2,2.233,1.917,2.549,0.1
host,acl,aclrtRecordEvent,32.085,4,8.021,5.002,9.318,3.076
host,acl,aclrtSynchronizeDeviceWithTimeout,7.415,1,7.415,7.415,7.415,0
host,acl,aclrtSynchronizeEvent,17.472,2,8.736,7.183,10.289,2.412
host,node,launch,2835.554,687,4.127,1.388,47.804,22.016
