Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,MatMulV2,AI_CORE,194,3109.76,5.26,16.03,237.77,41.345
0,FusedInferAttentionScore,MIX_AIC,48,1200.669,16.741,25.014,38.302,15.963
0,AddRmsNormBias,AI_VECTOR_CORE,96,708.45,1.62,7.38,18.521,9.419
0,SwiGlu,AI_VECTOR_CORE,48,469.838,2.98,9.788,20.861,6.247
0,_triton_rope,AI_VECTOR_CORE,48,375.918,2.801,7.832,16.721,4.998
0,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,48,299.312,1.48,6.236,15.541,3.979
0,Slice,AI_VECTOR_CORE,98,252.371,2.06,2.575,3.54,3.355
0,_compute_slot_mapping_kernel,AI_VECTOR_CORE,2,240.55,120.125,120.275,120.425,3.198
0,token_bin_counts_and_mask_kernel,AI_VECTOR_CORE,3,200.248,63.943,66.749,70.443,2.662
0,MaskedFill,AI_CPU,1,160.207,160.207,160.207,160.207,2.13
0,apply_all_penalties_kernel,AI_VECTOR_CORE,2,152.646,76.323,76.323,76.323,2.029
0,Cast,AI_VECTOR_CORE,62,99.845,0.721,1.61,8.561,1.327
0,Greater,AI_VECTOR_CORE,4,53.122,9.541,13.281,16.841,0.706
0,Index,AI_VECTOR_CORE,4,41.122,8.581,10.28,14.661,0.547
0,ArgMaxV2,AI_VECTOR_CORE,2,37.361,18.641,18.681,18.721,0.497
0,GatherV3,AI_VECTOR_CORE,4,24.682,2.2,6.17,11.761,0.328
0,GatherV2,AI_VECTOR_CORE,2,22.181,10.381,11.091,11.801,0.295
0,ZerosLike,AI_VECTOR_CORE,4,20.102,2.501,5.025,7.521,0.267
0,RmsNorm,AI_VECTOR_CORE,2,19.881,4.781,9.941,15.101,0.264
0,Tile,AI_VECTOR_CORE,4,17.481,1.38,4.37,9.121,0.232
0,Add,AI_VECTOR_CORE,4,7.32,1.2,1.83,2.64,0.097
0,Fill,AI_VECTOR_CORE,4,4.04,0.96,1.01,1.1,0.054
0,Sub,AI_VECTOR_CORE,2,2.36,1.16,1.18,1.2,0.031
0,Equal,AI_VECTOR_CORE,1,2.081,2.081,2.081,2.081,0.028
