Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
P09/step=3/NPUModelRunner.execute_model,,,2417.782,23835.86,0,4552.7175,0,1717.945
aten::slice,,,15.914,22.634,0,0,0,0
aten::as_strided,,,6.72,6.72,0,0,0,0
aten::slice,,,1.83,4.303,0,0,0,0
aten::as_strided,,,2.473,2.473,0,0,0,0
aten::copy_,,,27.28,34.695,0,2.7,0,0
acl_memcpy_host_to_device,,,7.415,7.415,2.7,2.7,0,0
aten::slice,,,0.847,1.465,0,0,0,0
aten::as_strided,,,0.618,0.618,0,0,0,0
aten::slice,,,0.969,1.449,0,0,0,0
aten::as_strided,,,0.48,0.48,0,0,0,0
aten::copy_,,,2.646,4.413,0,2.7005,0,0
acl_memcpy_host_to_device,,,1.767,1.767,2.7005,2.7005,0,0
aten::slice,,,0.621,0.952,0,0,0,0
aten::as_strided,,,0.331,0.331,0,0,0,0
aten::slice,,,0.556,0.838,0,0,0,0
aten::as_strided,,,0.282,0.282,0,0,0,0
aten::copy_,,,3.731,5.157,0,2.68,0,0
acl_memcpy_host_to_device,,,1.426,1.426,2.68,2.68,0,0
aten::empty,,,10.589,10.589,0,0,0,0
aten::detach,,,1.906,1.906,0,0,0,0
aten::to,,,2.012,2.012,0,0,0,0
aten::resolve_conj,,,0.543,0.543,0,0,0,0
aten::resolve_neg,,,0.41,0.41,0,0,0,0
aten::to,,,1.066,33.365,0,3.32,0,0
aten::_to_copy,,,4.323,32.299,0,3.32,0,0
aten::empty_strided,,,9.65,14.493,0,0,0,0
empty_tensor,,,4.843,4.843,0,0,0,0
aten::copy_,,,4.176,13.483,0,3.32,0,0
acl_memcpy_host_to_device,,,9.307,9.307,3.32,3.32,0,0
aten::slice,,,0.997,1.633,0,0,0,0
aten::as_strided,,,0.636,0.636,0,0,0,0
aten::slice,,,0.525,1.022,0,0,0,0
aten::as_strided,,,0.497,0.497,0,0,0,0
aten::slice,,,0.468,0.762,0,0,0,0
aten::as_strided,,,0.294,0.294,0,0,0,0
record_event,,,3.164,3.164,0.02,0.02,0,0
aten::slice,,,0.862,1.863,0,0,0,0
aten::as_strided,,,1.001,1.001,0,0,0,0
aten::slice,,,0.702,1.246,0,0,0,0
aten::as_strided,,,0.544,0.544,0,0,0,0
aten::copy_,,,3.276,5.365,0,2.76,0,0
acl_memcpy_host_to_device,,,2.089,2.089,2.76,2.76,0,0
aten::lift_fresh,,,0.924,0.924,0,0,0,0
aten::lift_fresh,,,0.072,0.072,0,0,0,0
aten::flatten,,,7.882,12.349,0,0,0,0
aten::view,,,4.467,4.467,0,0,0,0
aten::slice,,,1.649,2.312,0,0,0,0
aten::as_strided,,,0.663,0.663,0,0,0,0
aten::index_select,,,6.456,6.456,0,0,0,0
aten::copy_,,,4.003,6.451,0,2.76,0,0
acl_memcpy_host_to_device,,,2.448,2.448,2.76,2.76,0,0
aten::slice,,,0.878,1.199,0,0,0,0
aten::as_strided,,,0.321,0.321,0,0,0,0
aten::lift_fresh,,,0.074,0.074,0,0,0,0
aten::slice,,,0.932,1.14,0,0,0,0
aten::as_strided,,,0.208,0.208,0,0,0,0
aten::add,,,11.303,11.303,0,0,0,0
aten::slice,,,0.519,0.749,0,0,0,0
aten::as_strided,,,0.23,0.23,0,0,0,0
aten::fill_,,,3.982,3.982,0,0,0,0
aten::slice,,,0.865,1.561,0,0,0,0
aten::as_strided,,,0.696,0.696,0,0,0,0
aten::fill_,,,14.894,18.002,0,1.02,0,0
aclnnInplaceFillScalar,,,3.108,3.108,1.02,1.02,0,0
aten::slice,,,0.602,1.142,0,0,0,0
aten::as_strided,,,0.54,0.54,0,0,0,0
aten::slice,,,0.483,0.679,0,0,0,0
aten::as_strided,,,0.196,0.196,0,0,0,0
aten::copy_,,,2.42,3.293,0,2.74,0,0
acl_memcpy_host_to_device,,,0.873,0.873,2.74,2.74,0,0
aten::slice,,,0.677,0.844,0,0,0,0
aten::as_strided,,,0.167,0.167,0,0,0,0
aten::detach,,,1.691,1.691,0,0,0,0
aten::to,,,0.292,0.292,0,0,0,0
aten::resolve_conj,,,0.118,0.118,0,0,0,0
aten::resolve_neg,,,0.067,0.067,0,0,0,0
aten::slice,,,0.768,1.388,0,0,0,0
aten::as_strided,,,0.62,0.62,0,0,0,0
aten::slice,,,1.057,1.283,0,0,0,0
aten::as_strided,,,0.226,0.226,0,0,0,0
aten::copy_,,,0.271,0.271,0,0,0,0
aten::slice,,,0.759,1.208,0,0,0,0
aten::as_strided,,,0.449,0.449,0,0,0,0
aten::slice,,,0.64,0.848,0,0,0,0
aten::as_strided,,,0.208,0.208,0,0,0,0
aten::copy_,,,2.41,4.63,0,2.7605,0,0
acl_memcpy_host_to_device,,,2.22,2.22,2.7605,2.7605,0,0
aten::fill_,,,2.185,8.18,0,0.96,0,0
aclnnInplaceFillScalar,,,5.995,5.995,0.96,0.96,0,0
aten::slice,,,0.837,1.273,0,0,0,0
aten::as_strided,,,0.436,0.436,0,0,0,0
aten::slice,,,0.844,1.233,0,0,0,0
aten::as_strided,,,0.389,0.389,0,0,0,0
aten::copy_,,,2.513,3.31,0,2.72,0,0
acl_memcpy_host_to_device,,,0.797,0.797,2.72,2.72,0,0
aten::slice,,,0.759,1.235,0,0,0,0
aten::as_strided,,,0.476,0.476,0,0,0,0
aten::slice,,,0.55,0.79,0,0,0,0
aten::as_strided,,,0.24,0.24,0,0,0,0
aten::copy_,,,2.521,4.202,0,2.9,0,0
acl_memcpy_host_to_device,,,1.681,1.681,2.9,2.9,0,0
aten::slice,,,0.583,0.895,0,0,0,0
aten::as_strided,,,0.312,0.312,0,0,0,0
aten::slice,,,0.833,1.404,0,0,0,0
aten::as_strided,,,0.571,0.571,0,0,0,0
aten::slice,,,0.494,0.764,0,0,0,0
aten::as_strided,,,0.27,0.27,0,0,0,0
aten::copy_,,,2.053,3.546,0,3.1,0,0
acl_memcpy_host_to_device,,,1.493,1.493,3.1,3.1,0,0
aten::slice,,,0.717,1.115,0,0,0,0
aten::as_strided,,,0.398,0.398,0,0,0,0
aten::slice,,,1.032,1.247,0,0,0,0
aten::as_strided,,,0.215,0.215,0,0,0,0
aten::copy_,,,2.087,2.74,0,2.74,0,0
acl_memcpy_host_to_device,,,0.653,0.653,2.74,2.74,0,0
aten::slice,,,0.553,0.857,0,0,0,0
aten::as_strided,,,0.304,0.304,0,0,0,0
aten::index,,,11.557,18.314,0,8.86,0,0
empty_tensor,,,1.641,1.641,0,0,0,0
empty_tensor,,,2.65,2.65,0,0,0,0
aclnnIndex,,,2.466,2.466,8.86,8.86,0,0
aten::to,,,0.764,10.666,0,1.16,0,0
aten::_to_copy,,,1.532,9.902,0,1.16,0,0
aten::empty,,,0.994,2.418,0,0,0,0
empty_tensor,,,1.424,1.424,0,0,0,0
aten::copy_,,,3.96,5.952,0,1.16,0,0
aclnnInplaceCopy,,,1.992,1.992,1.16,1.16,0,0
aten::slice,,,0.748,1.209,0,0,0,0
aten::as_strided,,,0.461,0.461,0,0,0,0
aten::add,,,7.86,9.552,0,2.64,0,0
