Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,ReshapeAndCacheOperation::Execute,474.462,48,9.885,7.943,35.559,15.831
host,acl,ReshapeAndCacheOperation::Setup,253.946,48,5.291,2.771,53.22,52.805
host,acl,Slice_Tiling,60.828,24,2.535,1.535,15.041,7.095
host,acl,aclmdlRICaptureGetInfo,37.866,121,0.313,0.109,1.234,0.044
host,acl,aclmdlRIExecuteAsync,183.96,25,7.358,5.864,14.555,5.102
host,acl,aclnnAdd,17.046,4,4.262,3.034,5.34,0.767
host,acl,aclnnAddRmsNormBias,246.414,48,5.134,4.288,9.666,0.627
host,acl,aclnnAddRmsNormBiasGetWorkspaceSize,225.144,48,4.69,2.978,15.688,3.953
host,acl,aclnnAddmm,141.51,24,5.896,4.991,8.727,0.925
host,acl,aclnnArgMax,15.375,2,7.688,6.397,8.978,1.665
host,acl,aclnnContiguous,265.885,24,11.079,8.557,41.138,40.453
host,acl,aclnnContiguousGetWorkspaceSize,496.108,24,20.671,19.41,33.244,7.089
host,acl,aclnnEmbedding,5.598,1,5.598,5.598,5.598,0
host,acl,aclnnEqScalar,6.142,2,3.071,0.784,5.358,5.23
host,acl,aclnnGtScalar,27.155,4,6.789,5.19,10.436,4.53
host,acl,aclnnIndex,31.128,4,7.782,6.082,9.16,1.299
host,acl,aclnnIndexSelect,25.315,4,6.329,3.913,10.252,6.628
host,acl,aclnnInnerFusedInferAttentionScore,1252.202,48,26.088,16.515,101.837,159.609
host,acl,aclnnInnerFusedInferAttentionScoreGetWorkspaceSize,1000.239,48,20.838,6.762,60.834,191.848
host,acl,aclnnInplaceCopy,553.603,183,3.025,0.795,11.177,2.892
host,acl,aclnnInplaceCopyGetWorkspaceSize,393.614,102,3.859,1.551,25.017,8.841
host,acl,aclnnInplaceFillScalar,46.04,10,4.604,0.423,21.075,38.725
host,acl,aclnnInplaceMaskedFillScalar,26.118,2,13.059,0.629,25.489,154.505
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,18.688,1,18.688,18.688,18.688,0
host,acl,aclnnInplaceZero,17.616,4,4.404,3.094,6.455,1.654
host,acl,aclnnMatmul,313.939,74,4.242,3.087,7.737,0.882
host,acl,aclnnRepeat,32.565,4,8.141,2.995,14.463,27.143
host,acl,aclnnRmsNorm,19.079,1,19.079,19.079,19.079,0
host,acl,aclnnRmsNormGetWorkspaceSize,22.012,1,22.012,22.012,22.012,0
host,acl,aclnnSubs,10.169,2,5.085,3.689,6.48,1.947
host,acl,aclnnSwiGlu,123.502,24,5.146,4.16,7.609,0.672
host,acl,aclnnSwiGluGetWorkspaceSize,73.432,24,3.06,2.624,5.294,0.234
host,acl,aclrtGetResInCurrentThread,103.556,496,0.209,0.114,1.778,0.03
host,acl,aclrtGetStreamAttribute,72.019,469,0.154,0.11,1.781,0.009
host,acl,aclrtLaunchKernelWithHostArgs,1490.626,389,3.832,0.978,44.066,19.08
host,acl,aclrtMemcpyAsync,187.091,77,2.43,1.132,14.67,3.168
host,acl,aclrtMemcpyAsyncWithCondition,6.129,2,3.065,2.366,3.763,0.488
host,acl,aclrtPointerGetAttributes,123.324,153,0.806,0.208,4.21,0.924
host,acl,aclrtQueryEventStatus,4.471,2,2.236,1.455,3.016,0.609
host,acl,aclrtRecordEvent,31.5,4,7.875,4.475,9.435,3.963
host,acl,aclrtSynchronizeDeviceWithTimeout,13.361,1,13.361,13.361,13.361,0
host,acl,aclrtSynchronizeEvent,16.96,2,8.48,7.934,9.026,0.298
host,node,launch,2021.744,468,4.32,1.474,46.653,18.057
