Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID
0,4294967295,1454,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1790162642285748.690	,1.040,0,1,0,NO,"""1;""",INT64;INT32,ND;ND,"""1""",INT32,ND,N/A
0,4294967295,1457,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1790162642285797.152	,1.000,47.460000,1,0,NO,"""1;""",INT64;INT32,ND;ND,"""1""",INT32,ND,N/A
0,4294967295,1462,46,aclnnIndex_IndexAiCore_Index,Index,dynamic,AI_VECTOR_CORE,1790162642285898.396	,11.780,100.250000,48,0,NO,"""1;1;1;126""",INT32;INT64;INT64;INT64,ND;ND;ND;ND,"""126""",INT32,ND,N/A
0,4294967295,1463,46,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1790162642285932.277	,1.240,21.970000,1,0,NO,"""126""",INT32,ND,"""126""",INT64,ND,N/A
0,4294967295,1464,46,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1790162642285940.097	,2.680,6.510000,1,0,NO,"""126;126""",INT64;INT64,ND;ND,"""126""",INT64,ND,N/A
0,4294967295,1466,46,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1790162642285989.019	,1.660,46.320000,1,0,NO,"""1;1""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A
0,4294967295,1468,46,_compute_slot_mapping_kernel,_compute_slot_mapping_kernel,static,AI_VECTOR_CORE,1790162642286312.192	,120.465,321.590000,2,0,YES,"""2;126;1,16""",996137344;32718;INT32,ND;ND;ND,"""2050""",INT64,ND,N/A
0,4294967295,1469,46,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1790162642286432.677	,1.300,0.035000,1,0,NO,"""1;""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A
0,4294967295,1471,46,aclnnIndexSelect_GatherV3AiCore_GatherV3,GatherV3,dynamic,AI_VECTOR_CORE,1790162642287391.915	,10.161,957.950000,48,0,NO,"""32768,64;126;1""",DT_BF16;INT64;INT64,ND;ND;ND,"""126,64""",DT_BF16,ND,N/A
0,4294967295,1472,46,aclnnRepeat_TileAiCore_Tile,Tile,dynamic,AI_VECTOR_CORE,1790162642287406.056	,9.480,3.839000,42,0,NO,"""126,2,32;3""",DT_BF16;INT64,NCL;ND,"""126,2,64""",DT_BF16,ND,N/A
0,4294967295,1473,46,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1790162642287439.177	,3.400,23.770000,12,0,NO,"""126,128;2;2""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""126,64""",DT_BF16,NCHW,N/A
