Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,MatMulV2,AI_CORE,194,3366.416,7.28,17.353,234.85,43.467
0,FusedInferAttentionScore,MIX_AIC,48,1201.19,17.221,25.025,34.521,15.51
0,AddRmsNormBias,AI_VECTOR_CORE,96,761.93,1.66,7.937,17.641,9.838
0,SwiGlu,AI_VECTOR_CORE,48,455.239,3,9.484,17.861,5.878
0,_triton_rope,AI_VECTOR_CORE,24,291.473,11.621,12.145,13.201,3.763
0,Slice,AI_VECTOR_CORE,98,274.092,2.1,2.797,3.4,3.539
0,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,48,267.21,1.46,5.567,9.701,3.45
0,_compute_slot_mapping_kernel,AI_VECTOR_CORE,2,240.509,120.045,120.255,120.465,3.105
0,token_bin_counts_and_mask_kernel,AI_VECTOR_CORE,3,204.128,64.383,68.043,71.583,2.636
0,apply_all_penalties_kernel,AI_VECTOR_CORE,2,151.767,75.823,75.883,75.944,1.96
0,Cast,AI_VECTOR_CORE,62,112.147,0.8,1.809,8.421,1.448
0,MaskedFill,AI_CPU,1,93.684,93.684,93.684,93.684,1.21
0,_triton_rope_1,AI_VECTOR_CORE,24,74.124,2.741,3.089,3.82,0.957
0,Greater,AI_VECTOR_CORE,4,53.342,10.48,13.335,16.101,0.689
0,Index,AI_VECTOR_CORE,4,37.802,8.461,9.451,11.781,0.488
0,ArgMaxV2,AI_VECTOR_CORE,2,37.422,18.641,18.711,18.781,0.483
0,RmsNorm,AI_VECTOR_CORE,2,23.581,5.76,11.79,17.821,0.304
0,ZerosLike,AI_VECTOR_CORE,4,22.221,2.46,5.555,8.721,0.287
0,GatherV3,AI_VECTOR_CORE,4,22.142,2.16,5.535,10.161,0.286
0,GatherV2,AI_VECTOR_CORE,2,19.521,9.061,9.761,10.461,0.252
0,Tile,AI_VECTOR_CORE,4,17.721,1.42,4.43,9.481,0.229
0,Add,AI_VECTOR_CORE,4,8.36,1.48,2.09,2.68,0.108
0,Fill,AI_VECTOR_CORE,4,4.12,0.96,1.03,1.12,0.053
0,Sub,AI_VECTOR_CORE,2,2.541,1.24,1.27,1.301,0.033
0,Equal,AI_VECTOR_CORE,1,2.101,2.101,2.101,2.101,0.027
