Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
P11/step=3/runner,,,2590.141,39818.128,0,4529.326,0,1729.9295
aten::slice,,,17.786,26.271,0,0,0,0
aten::as_strided,,,8.485,8.485,0,0,0,0
aten::slice,,,3.171,5.307,0,0,0,0
aten::as_strided,,,2.136,2.136,0,0,0,0
aten::copy_,,,27.488,35.667,0,2.66,0,0
acl_memcpy_host_to_device,,,8.179,8.179,2.66,2.66,0,0
aten::slice,,,0.927,1.491,0,0,0,0
aten::as_strided,,,0.564,0.564,0,0,0,0
aten::slice,,,0.978,1.341,0,0,0,0
aten::as_strided,,,0.363,0.363,0,0,0,0
aten::copy_,,,2.624,3.622,0,2.7,0,0
acl_memcpy_host_to_device,,,0.998,0.998,2.7,2.7,0,0
aten::slice,,,0.706,1.123,0,0,0,0
aten::as_strided,,,0.417,0.417,0,0,0,0
aten::slice,,,0.621,0.816,0,0,0,0
aten::as_strided,,,0.195,0.195,0,0,0,0
aten::copy_,,,2.332,3.963,0,2.6805,0,0
acl_memcpy_host_to_device,,,1.631,1.631,2.6805,2.6805,0,0
aten::empty,,,12.923,12.923,0,0,0,0
aten::detach,,,1.95,1.95,0,0,0,0
aten::to,,,1.82,1.82,0,0,0,0
aten::resolve_conj,,,0.763,0.763,0,0,0,0
aten::resolve_neg,,,0.153,0.153,0,0,0,0
aten::to,,,1.107,37.83,0,3.02,0,0
aten::_to_copy,,,4.655,36.723,0,3.02,0,0
aten::empty_strided,,,11.617,17.841,0,0,0,0
empty_tensor,,,6.224,6.224,0,0,0,0
aten::copy_,,,3.742,14.227,0,3.02,0,0
acl_memcpy_host_to_device,,,10.485,10.485,3.02,3.02,0,0
aten::slice,,,0.844,1.352,0,0,0,0
aten::as_strided,,,0.508,0.508,0,0,0,0
aten::slice,,,0.99,1.367,0,0,0,0
aten::as_strided,,,0.377,0.377,0,0,0,0
aten::slice,,,0.53,0.869,0,0,0,0
aten::as_strided,,,0.339,0.339,0,0,0,0
record_event,,,3.358,3.358,0.0,0.0,0,0
aten::slice,,,1.175,2.29,0,0,0,0
aten::as_strided,,,1.115,1.115,0,0,0,0
aten::slice,,,0.663,1.21,0,0,0,0
aten::as_strided,,,0.547,0.547,0,0,0,0
aten::copy_,,,3.165,5.515,0,2.7605,0,0
acl_memcpy_host_to_device,,,2.35,2.35,2.7605,2.7605,0,0
aten::lift_fresh,,,1.925,1.925,0,0,0,0
aten::lift_fresh,,,0.093,0.093,0,0,0,0
aten::flatten,,,9.54,13.508,0,0,0,0
aten::view,,,3.968,3.968,0,0,0,0
aten::slice,,,0.969,1.394,0,0,0,0
aten::as_strided,,,0.425,0.425,0,0,0,0
aten::index_select,,,5.839,5.839,0,0,0,0
aten::copy_,,,4.501,7.5,0,2.78,0,0
acl_memcpy_host_to_device,,,2.999,2.999,2.78,2.78,0,0
aten::slice,,,0.673,0.928,0,0,0,0
aten::as_strided,,,0.255,0.255,0,0,0,0
aten::lift_fresh,,,5.531,5.531,0,0,0,0
aten::slice,,,0.649,0.831,0,0,0,0
aten::as_strided,,,0.182,0.182,0,0,0,0
aten::add,,,13.581,13.581,0,0,0,0
aten::slice,,,0.517,0.723,0,0,0,0
aten::as_strided,,,0.206,0.206,0,0,0,0
aten::fill_,,,3.766,3.766,0,0,0,0
aten::slice,,,0.598,1.275,0,0,0,0
aten::as_strided,,,0.677,0.677,0,0,0,0
aten::fill_,,,15.807,19.039,0,1.04,0,0
aclnnInplaceFillScalar,,,3.232,3.232,1.04,1.04,0,0
aten::slice,,,0.816,1.383,0,0,0,0
aten::as_strided,,,0.567,0.567,0,0,0,0
aten::slice,,,0.51,0.741,0,0,0,0
aten::as_strided,,,0.231,0.231,0,0,0,0
aten::copy_,,,2.537,3.322,0,2.82,0,0
acl_memcpy_host_to_device,,,0.785,0.785,2.82,2.82,0,0
aten::slice,,,0.586,0.774,0,0,0,0
aten::as_strided,,,0.188,0.188,0,0,0,0
aten::detach,,,1.707,1.707,0,0,0,0
aten::to,,,0.388,0.388,0,0,0,0
aten::resolve_conj,,,0.218,0.218,0,0,0,0
aten::resolve_neg,,,0.125,0.125,0,0,0,0
aten::slice,,,0.665,1.282,0,0,0,0
aten::as_strided,,,0.617,0.617,0,0,0,0
aten::slice,,,0.513,0.725,0,0,0,0
aten::as_strided,,,0.212,0.212,0,0,0,0
aten::copy_,,,0.42,0.42,0,0,0,0
aten::slice,,,0.674,1.114,0,0,0,0
aten::as_strided,,,0.44,0.44,0,0,0,0
aten::slice,,,2.124,2.339,0,0,0,0
aten::as_strided,,,0.215,0.215,0,0,0,0
aten::copy_,,,2.511,4.813,0,2.78,0,0
acl_memcpy_host_to_device,,,2.302,2.302,2.78,2.78,0,0
aten::fill_,,,2.305,9.777,0,1.0,0,0
aclnnInplaceFillScalar,,,7.472,7.472,1.0,1.0,0,0
aten::slice,,,0.65,1.64,0,0,0,0
aten::as_strided,,,0.99,0.99,0,0,0,0
aten::slice,,,0.519,0.855,0,0,0,0
aten::as_strided,,,0.336,0.336,0,0,0,0
aten::copy_,,,2.337,3.637,0,2.72,0,0
acl_memcpy_host_to_device,,,1.3,1.3,2.72,2.72,0,0
aten::slice,,,2.437,3.082,0,0,0,0
aten::as_strided,,,0.645,0.645,0,0,0,0
aten::slice,,,0.722,1.043,0,0,0,0
aten::as_strided,,,0.321,0.321,0,0,0,0
aten::copy_,,,2.177,3.886,0,2.9005,0,0
acl_memcpy_host_to_device,,,1.709,1.709,2.9005,2.9005,0,0
aten::slice,,,0.551,0.876,0,0,0,0
aten::as_strided,,,0.325,0.325,0,0,0,0
aten::slice,,,0.596,1.001,0,0,0,0
aten::as_strided,,,0.405,0.405,0,0,0,0
aten::slice,,,0.652,0.867,0,0,0,0
aten::as_strided,,,0.215,0.215,0,0,0,0
aten::copy_,,,2.088,4.976,0,2.9,0,0
acl_memcpy_host_to_device,,,2.888,2.888,2.9,2.9,0,0
aten::slice,,,0.634,0.998,0,0,0,0
aten::as_strided,,,0.364,0.364,0,0,0,0
aten::slice,,,0.593,0.94,0,0,0,0
aten::as_strided,,,0.347,0.347,0,0,0,0
aten::copy_,,,2.058,3.304,0,2.78,0,0
acl_memcpy_host_to_device,,,1.246,1.246,2.78,2.78,0,0
aten::slice,,,1.79,2.188,0,0,0,0
aten::as_strided,,,0.398,0.398,0,0,0,0
aten::index,,,12.073,19.883,0,11.7805,0,0
empty_tensor,,,1.534,1.534,0,0,0,0
empty_tensor,,,4.037,4.037,0,0,0,0
aclnnIndex,,,2.239,2.239,11.7805,11.7805,0,0
aten::to,,,0.779,9.623,0,1.2405,0,0
aten::_to_copy,,,1.498,8.844,0,1.2405,0,0
aten::empty,,,0.871,2.428,0,0,0,0
empty_tensor,,,1.557,1.557,0,0,0,0
aten::copy_,,,3.995,4.918,0,1.2405,0,0
aclnnInplaceCopy,,,0.923,0.923,1.2405,1.2405,0,0
aten::slice,,,0.664,1.2,0,0,0,0
aten::as_strided,,,0.536,0.536,0,0,0,0
aten::add,,,7.968,11.032,0,2.68,0,0
empty_tensor,,,0.91,0.91,0,0,0,0
aclnnAdd,,,2.154,2.154,2.68,2.68,0,0
aten::slice,,,0.662,1.154,0,0,0,0
aten::as_strided,,,0.492,0.492,0,0,0,0
aten::copy_,,,44.839,47.32,0,1.2,0,0
aclnnInplaceCopy,,,2.481,2.481,1.2,1.2,0,0
aten::slice,,,0.878,1.24,0,0,0,0
aten::as_strided,,,0.362,0.362,0,0,0,0
aten::add,,,2.793,4.795,0,1.66,0,0
empty_tensor,,,1.307,1.307,0,0,0,0
aclnnAdd,,,0.695,0.695,1.66,1.66,0,0
aten::copy_,,,6.768,7.245,0,0.56,0,0
aclnnInplaceCopy,,,0.477,0.477,0.56,0.56,0,0
aten::slice,,,0.6,1.089,0,0,0,0
aten::as_strided,,,0.489,0.489,0,0,0,0
aten::fill_,,,1.779,2.664,0,0,0,0
aclnnInplaceFillScalar,,,0.885,0.885,0,0,0,0
aten::slice,,,0.672,2.782,0,0,0,0
aten::as_strided,,,2.11,2.11,0,0,0,0
aten::slice,,,1.358,1.623,0,0,0,0
aten::as_strided,,,0.265,0.265,0,0,0,0
_compute_slot_mapping_kernel,,,4.173,4.173,120.4645,120.4645,0,0
aten::slice,,,1.17,1.787,0,0,0,0
aten::as_strided,,,0.617,0.617,0,0,0,0
aten::sub,,,7.656,17.399,0,1.3005,0,0
empty_tensor,,,1.853,1.853,0,0,0,0
aten::item,,,1.816,5.401,0,0,0,0
aten::_local_scalar_dense,,,3.585,3.585,0,0,0,0
aclnnSubs,,,2.489,2.489,1.3005,1.3005,0,0
aten::detach,,,1.525,1.525,0,0,0,0
aten::to,,,0.822,0.822,0,0,0,0
aten::resolve_conj,,,0.269,0.269,0,0,0,0
aten::resolve_neg,,,0.135,0.135,0,0,0,0
aten::slice,,,1.584,2.743,0,0,0,0
aten::as_strided,,,1.159,1.159,0,0,0,0
