Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,ReshapeAndCacheOperation::Execute,1028.93,96,10.718,8.224,42.943,24.868
host,acl,ReshapeAndCacheOperation::Setup,657.694,96,6.851,3.219,62.689,83.917
host,acl,Slice_Tiling,128.231,48,2.671,1.718,15.485,4.852
host,acl,aclmdlRICaptureGetInfo,80.636,192,0.42,0.087,1.275,0.108
host,acl,aclnnAdd,37.956,8,4.745,3.344,8.337,2.705
host,acl,aclnnAddRmsNormBias,1129.518,192,5.883,4.717,41.07,7.614
host,acl,aclnnAddRmsNormBiasGetWorkspaceSize,885.181,192,4.61,2.458,9.97,2.054
host,acl,aclnnAddmm,589.932,96,6.145,5.1,14.999,2.312
host,acl,aclnnArgMax,45.672,4,11.418,7.528,14.3,6.043
host,acl,aclnnContiguous,585.712,48,12.202,9.513,45.57,31.814
host,acl,aclnnContiguousGetWorkspaceSize,1065.678,48,22.202,21.137,39.766,6.635
host,acl,aclnnEmbedding,23.675,4,5.919,3.98,8.17,2.342
host,acl,aclnnEqScalar,16.5,4,4.125,0.596,11.26,18.832
host,acl,aclnnGtScalar,63.136,8,7.892,4.763,10.93,4.249
host,acl,aclnnIndex,54.516,8,6.815,5.433,9.915,1.937
host,acl,aclnnIndexSelect,46.589,8,5.824,4.237,8.54,2.285
host,acl,aclnnInnerFusedInferAttentionScore,2731.422,96,28.452,18.162,105.453,136.56
host,acl,aclnnInnerFusedInferAttentionScoreGetWorkspaceSize,2363.839,96,24.623,9.291,68.811,191.585
host,acl,aclnnInplaceCopy,1163.347,368,3.161,0.758,15.56,3.322
host,acl,aclnnInplaceCopyGetWorkspaceSize,1219.634,204,5.979,2.117,31.155,12.972
host,acl,aclnnInplaceFillScalar,100.246,20,5.012,0.424,29.932,49.195
host,acl,aclnnInplaceMaskedFillScalar,46.689,4,11.672,0.352,26.578,133.949
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,38.34,2,19.17,18.056,20.284,1.241
host,acl,aclnnInplaceZero,41.536,8,5.192,2.762,8.72,3.966
host,acl,aclnnMatmul,1240.147,292,4.247,3.301,10.529,1.162
host,acl,aclnnRepeat,48.458,8,6.057,3.196,8.123,3.376
host,acl,aclnnRmsNorm,53.453,4,13.363,8.842,22.213,27.304
host,acl,aclnnRmsNormGetWorkspaceSize,48.184,4,12.046,7.433,23.249,42.178
host,acl,aclnnSubs,17.995,4,4.499,3.778,6.062,0.832
host,acl,aclnnSwiGlu,513.995,96,5.354,4.281,13.17,1.807
host,acl,aclnnSwiGluGetWorkspaceSize,296.545,96,3.089,2.47,5.133,0.085
host,acl,aclrtGetResInCurrentThread,283.257,1284,0.221,0.093,1.94,0.03
host,acl,aclrtGetStreamAttribute,174.387,1280,0.136,0.088,1.326,0.006
host,acl,aclrtLaunchKernelWithHostArgs,4332.078,1168,3.709,1.148,43.514,16.415
host,acl,aclrtMemcpyAsync,383.048,154,2.487,1,17.969,3.552
host,acl,aclrtMemcpyAsyncWithCondition,12.236,4,3.059,2.227,3.797,0.366
host,acl,aclrtPointerGetAttributes,400.699,498,0.805,0.182,5.062,0.975
host,acl,aclrtQueryEventStatus,8.903,4,2.226,1.583,3.618,0.685
host,acl,aclrtRecordEvent,60.395,8,7.549,4.551,11.545,4.728
host,acl,aclrtSynchronizeDeviceWithTimeout,8.504,1,8.504,8.504,8.504,0
host,acl,aclrtSynchronizeEvent,34.352,4,8.588,7.633,10.602,1.383
host,node,launch,5666.533,1374,4.124,1.389,45.926,16.408
