Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,MatMulV2,AI_CORE,388,6242.843,5.32,16.09,232.21,41.521
0,FusedInferAttentionScore,MIX_AIC,96,2460.998,18.421,25.635,34.822,16.368
0,AddRmsNormBias,AI_VECTOR_CORE,192,1412.259,1.6,7.356,17.681,9.393
0,SwiGlu,AI_VECTOR_CORE,96,950.817,2.88,9.904,21.301,6.324
0,_triton_rope,AI_VECTOR_CORE,96,762.789,2.781,7.946,18.501,5.073
0,Slice,AI_VECTOR_CORE,196,577.389,2.14,2.946,4.48,3.84
0,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,96,540.843,1.5,5.634,14.961,3.597
0,_compute_slot_mapping_kernel,AI_VECTOR_CORE,4,480.46,120.025,120.115,120.225,3.196
0,token_bin_counts_and_mask_kernel,AI_VECTOR_CORE,6,374.396,57.042,62.399,67.263,2.49
0,apply_all_penalties_kernel,AI_VECTOR_CORE,4,303.972,75.823,75.993,76.183,2.022
0,Cast,AI_VECTOR_CORE,124,212.17,0.76,1.711,9.201,1.411
0,MaskedFill,AI_CPU,2,202.208,76.803,101.104,125.405,1.345
0,Greater,AI_VECTOR_CORE,8,111.305,9.561,13.913,21.181,0.74
0,Index,AI_VECTOR_CORE,8,76.643,8.241,9.58,12.801,0.51
0,ArgMaxV2,AI_VECTOR_CORE,4,75.124,18.621,18.781,19.021,0.5
0,GatherV3,AI_VECTOR_CORE,8,51.642,2.28,6.455,12.021,0.343
0,RmsNorm,AI_VECTOR_CORE,4,45.622,5.02,11.405,18.041,0.303
0,ZerosLike,AI_VECTOR_CORE,8,43.36,2.26,5.42,8.42,0.288
0,GatherV2,AI_VECTOR_CORE,4,41.322,9.661,10.331,10.901,0.275
0,Tile,AI_VECTOR_CORE,8,36.802,1.34,4.6,10.001,0.245
0,Add,AI_VECTOR_CORE,8,14.02,1.12,1.752,2.52,0.093
0,Fill,AI_VECTOR_CORE,8,8.34,0.92,1.042,1.14,0.055
0,Equal,AI_VECTOR_CORE,2,5.061,2.521,2.53,2.54,0.034
0,Sub,AI_VECTOR_CORE,4,4.92,1.16,1.23,1.3,0.033
