Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
P12/A/0001/allocate,,,257.318,383.89,0,0,0,0
P12/A/0002/pool_allocate,,,126.572,126.572,0,0,0,0
P12/A/0003/runner,,,9071.978,40424.637,0,4607.7455,0,1713.887
aten::slice,,,20.511,29.317,0,0,0,0
aten::as_strided,,,8.806,8.806,0,0,0,0
aten::slice,,,2.098,5.999,0,0,0,0
aten::as_strided,,,3.901,3.901,0,0,0,0
aten::copy_,,,31.994,41.47,0,2.82,0,0
acl_memcpy_host_to_device,,,9.476,9.476,2.82,2.82,0,0
aten::slice,,,0.967,1.548,0,0,0,0
aten::as_strided,,,0.581,0.581,0,0,0,0
aten::slice,,,0.779,1.174,0,0,0,0
aten::as_strided,,,0.395,0.395,0,0,0,0
aten::copy_,,,2.875,3.677,0,2.8,0,0
acl_memcpy_host_to_device,,,0.802,0.802,2.8,2.8,0,0
aten::slice,,,0.626,1.076,0,0,0,0
aten::as_strided,,,0.45,0.45,0,0,0,0
aten::slice,,,0.742,2.355,0,0,0,0
aten::as_strided,,,1.613,1.613,0,0,0,0
aten::copy_,,,2.308,5.66,0,2.92,0,0
acl_memcpy_host_to_device,,,3.352,3.352,2.92,2.92,0,0
aten::empty,,,15.969,15.969,0,0,0,0
aten::detach,,,2.629,2.629,0,0,0,0
aten::to,,,2.405,2.405,0,0,0,0
aten::resolve_conj,,,0.632,0.632,0,0,0,0
aten::resolve_neg,,,0.169,0.169,0,0,0,0
aten::to,,,1.202,31.424,0,3.18,0,0
aten::_to_copy,,,5.474,30.222,0,3.18,0,0
aten::empty_strided,,,11.454,18.204,0,0,0,0
empty_tensor,,,6.75,6.75,0,0,0,0
aten::copy_,,,3.794,6.544,0,3.18,0,0
acl_memcpy_host_to_device,,,2.75,2.75,3.18,3.18,0,0
aten::slice,,,1.008,1.686,0,0,0,0
aten::as_strided,,,0.678,0.678,0,0,0,0
aten::slice,,,0.455,0.8,0,0,0,0
aten::as_strided,,,0.345,0.345,0,0,0,0
aten::slice,,,0.553,0.783,0,0,0,0
aten::as_strided,,,0.23,0.23,0,0,0,0
record_event,,,3.387,3.387,0.02,0.02,0,0
aten::slice,,,0.885,1.938,0,0,0,0
aten::as_strided,,,1.053,1.053,0,0,0,0
aten::slice,,,0.725,1.334,0,0,0,0
aten::as_strided,,,0.609,0.609,0,0,0,0
aten::copy_,,,3.757,13.945,0,2.7405,0,0
acl_memcpy_host_to_device,,,10.188,10.188,2.7405,2.7405,0,0
aten::lift_fresh,,,0.847,0.847,0,0,0,0
aten::lift_fresh,,,0.082,0.082,0,0,0,0
aten::flatten,,,10.081,15.113,0,0,0,0
aten::view,,,5.032,5.032,0,0,0,0
aten::slice,,,2.913,3.326,0,0,0,0
aten::as_strided,,,0.413,0.413,0,0,0,0
aten::index_select,,,7.265,7.265,0,0,0,0
aten::copy_,,,4.292,7.61,0,2.8,0,0
acl_memcpy_host_to_device,,,3.318,3.318,2.8,2.8,0,0
aten::slice,,,0.81,1.09,0,0,0,0
aten::as_strided,,,0.28,0.28,0,0,0,0
aten::lift_fresh,,,0.242,0.242,0,0,0,0
aten::slice,,,1.106,1.28,0,0,0,0
aten::as_strided,,,0.174,0.174,0,0,0,0
aten::add,,,14.767,14.767,0,0,0,0
aten::slice,,,0.735,1.008,0,0,0,0
aten::as_strided,,,0.273,0.273,0,0,0,0
aten::fill_,,,5.529,5.529,0,0,0,0
aten::slice,,,0.656,1.619,0,0,0,0
aten::as_strided,,,0.963,0.963,0,0,0,0
aten::fill_,,,18.485,21.674,0,1.12,0,0
aclnnInplaceFillScalar,,,3.189,3.189,1.12,1.12,0,0
aten::slice,,,0.663,1.183,0,0,0,0
aten::as_strided,,,0.52,0.52,0,0,0,0
aten::slice,,,0.85,1.163,0,0,0,0
aten::as_strided,,,0.313,0.313,0,0,0,0
aten::copy_,,,5.245,6.088,0,2.9605,0,0
acl_memcpy_host_to_device,,,0.843,0.843,2.9605,2.9605,0,0
aten::slice,,,0.639,0.859,0,0,0,0
aten::as_strided,,,0.22,0.22,0,0,0,0
aten::detach,,,1.733,1.733,0,0,0,0
aten::to,,,0.317,0.317,0,0,0,0
aten::resolve_conj,,,0.228,0.228,0,0,0,0
aten::resolve_neg,,,0.072,0.072,0,0,0,0
aten::slice,,,0.925,1.568,0,0,0,0
aten::as_strided,,,0.643,0.643,0,0,0,0
aten::slice,,,10.568,10.793,0,0,0,0
aten::as_strided,,,0.225,0.225,0,0,0,0
aten::copy_,,,0.252,0.252,0,0,0,0
aten::slice,,,0.687,1.14,0,0,0,0
aten::as_strided,,,0.453,0.453,0,0,0,0
aten::slice,,,0.673,0.896,0,0,0,0
aten::as_strided,,,0.223,0.223,0,0,0,0
aten::copy_,,,2.801,5.257,0,2.82,0,0
acl_memcpy_host_to_device,,,2.456,2.456,2.82,2.82,0,0
aten::fill_,,,2.556,4.203,0,0.98,0,0
aclnnInplaceFillScalar,,,1.647,1.647,0.98,0.98,0,0
aten::slice,,,1.831,2.254,0,0,0,0
aten::as_strided,,,0.423,0.423,0,0,0,0
aten::slice,,,0.427,0.613,0,0,0,0
aten::as_strided,,,0.186,0.186,0,0,0,0
aten::copy_,,,2.35,3.398,0,2.92,0,0
acl_memcpy_host_to_device,,,1.048,1.048,2.92,2.92,0,0
aten::slice,,,0.64,1.062,0,0,0,0
aten::as_strided,,,0.422,0.422,0,0,0,0
aten::slice,,,0.603,0.98,0,0,0,0
aten::as_strided,,,0.377,0.377,0,0,0,0
aten::copy_,,,4.081,8.499,0,2.94,0,0
acl_memcpy_host_to_device,,,4.418,4.418,2.94,2.94,0,0
aten::slice,,,0.643,0.966,0,0,0,0
aten::as_strided,,,0.323,0.323,0,0,0,0
aten::slice,,,0.567,0.889,0,0,0,0
aten::as_strided,,,0.322,0.322,0,0,0,0
aten::slice,,,0.48,0.735,0,0,0,0
aten::as_strided,,,0.255,0.255,0,0,0,0
aten::copy_,,,3.312,10.818,0,2.88,0,0
acl_memcpy_host_to_device,,,7.506,7.506,2.88,2.88,0,0
aten::slice,,,0.636,1.058,0,0,0,0
aten::as_strided,,,0.422,0.422,0,0,0,0
aten::slice,,,6.584,6.917,0,0,0,0
aten::as_strided,,,0.333,0.333,0,0,0,0
aten::copy_,,,2.433,4.999,0,2.7805,0,0
acl_memcpy_host_to_device,,,2.566,2.566,2.7805,2.7805,0,0
aten::slice,,,0.535,0.891,0,0,0,0
aten::as_strided,,,0.356,0.356,0,0,0,0
aten::index,,,13.424,24.174,0,10.0805,0,0
empty_tensor,,,2.011,2.011,0,0,0,0
empty_tensor,,,5.533,5.533,0,0,0,0
aclnnIndex,,,3.206,3.206,10.0805,10.0805,0,0
aten::to,,,0.982,11.209,0,1.3,0,0
aten::_to_copy,,,1.801,10.227,0,1.3,0,0
aten::empty,,,1.16,2.635,0,0,0,0
empty_tensor,,,1.475,1.475,0,0,0,0
aten::copy_,,,4.836,5.791,0,1.3,0,0
aclnnInplaceCopy,,,0.955,0.955,1.3,1.3,0,0
aten::slice,,,0.727,1.251,0,0,0,0
aten::as_strided,,,0.524,0.524,0,0,0,0
aten::add,,,8.856,12.052,0,2.48,0,0
empty_tensor,,,2.361,2.361,0,0,0,0
aclnnAdd,,,0.835,0.835,2.48,2.48,0,0
aten::slice,,,0.684,1.396,0,0,0,0
aten::as_strided,,,0.712,0.712,0,0,0,0
aten::copy_,,,54.384,57.594,0,1.22,0,0
aclnnInplaceCopy,,,3.21,3.21,1.22,1.22,0,0
aten::slice,,,0.579,0.932,0,0,0,0
