Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,ReshapeAndCacheOperation::Execute,1043.256,96,10.867,8.436,41.911,17.18
host,acl,ReshapeAndCacheOperation::Setup,560.601,96,5.84,3.161,29.502,20.423
host,acl,Slice_Tiling,149.883,48,3.123,1.889,10.544,2.765
host,acl,aclmdlRICaptureGetInfo,82.102,192,0.428,0.105,1.129,0.099
host,acl,aclnnAdd,44.079,8,5.51,3.357,9.378,4.143
host,acl,aclnnAddRmsNormBias,1439.345,192,7.497,5.888,15.983,2.296
host,acl,aclnnAddRmsNormBiasGetWorkspaceSize,1180.397,192,6.148,4.085,10.009,1.466
host,acl,aclnnAddmm,629.915,96,6.562,5.298,12.861,2.024
host,acl,aclnnArgMax,42.148,4,10.537,8.533,14.399,5.222
host,acl,aclnnContiguous,705.656,48,14.701,10.713,38.519,27.964
host,acl,aclnnContiguousGetWorkspaceSize,1165.9,48,24.29,23.047,35.865,3
host,acl,aclnnEmbedding,29.414,4,7.353,4.416,9.459,4.083
host,acl,aclnnEqScalar,15.301,4,3.825,0.885,8.756,10.431
host,acl,aclnnGtScalar,59.716,8,7.464,4.47,11.147,3.212
host,acl,aclnnIndex,59.803,8,7.475,5.62,10.2,1.962
host,acl,aclnnIndexSelect,49.436,8,6.18,4.461,9.62,2.419
host,acl,aclnnInnerFusedInferAttentionScore,3049.018,96,31.761,19.931,87.664,138.356
host,acl,aclnnInnerFusedInferAttentionScoreGetWorkspaceSize,2796.646,96,29.132,12.302,64.814,223.222
host,acl,aclnnInplaceCopy,1506.708,368,4.094,1.196,11.299,4.089
host,acl,aclnnInplaceCopyGetWorkspaceSize,1278.576,204,6.268,2.675,29.727,12.933
host,acl,aclnnInplaceFillScalar,81.251,20,4.063,0.333,17.64,20.768
host,acl,aclnnInplaceMaskedFillScalar,47.229,4,11.807,0.438,24.089,127.739
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,39.481,2,19.74,18.136,21.345,2.574
host,acl,aclnnInplaceZero,36.345,8,4.543,2.845,8.411,3.27
host,acl,aclnnMatmul,1362.292,292,4.665,3.46,31.094,3.409
host,acl,aclnnRepeat,47.535,8,5.942,3.259,8.415,3.493
host,acl,aclnnRmsNorm,40.995,4,10.249,7,17.632,18.746
host,acl,aclnnRmsNormGetWorkspaceSize,49.454,4,12.364,9.166,19.853,18.99
host,acl,aclnnSubs,22.32,4,5.58,3.938,9.331,4.783
host,acl,aclnnSwiGlu,600.982,96,6.26,5.216,14.189,1.561
host,acl,aclnnSwiGluGetWorkspaceSize,418.183,96,4.356,3.27,10.176,0.468
host,acl,aclrtGetResInCurrentThread,304.883,1284,0.237,0.11,1.755,0.031
host,acl,aclrtGetStreamAttribute,235.791,1280,0.184,0.108,2.313,0.033
host,acl,aclrtLaunchKernelWithHostArgs,4357.625,1168,3.731,1.112,35.867,14.939
host,acl,aclrtMemcpyAsync,368.847,154,2.395,0.903,8.472,1.229
host,acl,aclrtMemcpyAsyncWithCondition,12.293,4,3.073,2.377,4.307,0.541
host,acl,aclrtPointerGetAttributes,448.847,498,0.901,0.205,8.246,1.259
host,acl,aclrtQueryEventStatus,8.315,4,2.079,1.733,2.812,0.187
host,acl,aclrtRecordEvent,59.956,8,7.495,4.052,10.991,5.968
host,acl,aclrtSynchronizeDeviceWithTimeout,9.061,1,9.061,9.061,9.061,0
host,acl,aclrtSynchronizeEvent,43.683,4,10.921,9.107,13.291,2.596
host,node,launch,5836.645,1374,4.248,1.393,37.265,14.85
