Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,MatMulV2,AI_CORE,388,6255.675,5.221,16.123,238.55,42.102
0,FusedInferAttentionScore,MIX_AIC,96,2405.817,17.021,25.061,36.742,16.192
0,AddRmsNormBias,AI_VECTOR_CORE,192,1386.532,1.6,7.222,17.501,9.332
0,SwiGlu,AI_VECTOR_CORE,96,896.413,2.9,9.338,18.241,6.033
0,_triton_rope,AI_VECTOR_CORE,96,742.073,2.7,7.73,16.201,4.994
0,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,96,587.825,1.42,6.123,15.461,3.956
0,Slice,AI_VECTOR_CORE,196,498,2.12,2.541,3.481,3.352
0,_compute_slot_mapping_kernel,AI_VECTOR_CORE,4,480.66,119.965,120.165,120.345,3.235
0,token_bin_counts_and_mask_kernel,AI_VECTOR_CORE,6,398.077,61.343,66.346,73.603,2.679
0,apply_all_penalties_kernel,AI_VECTOR_CORE,4,306.293,76.243,76.573,76.984,2.061
0,Cast,AI_VECTOR_CORE,124,200.83,0.74,1.62,8.54,1.352
0,MaskedFill,AI_CPU,2,189.767,69.543,94.884,120.225,1.277
0,Greater,AI_VECTOR_CORE,8,104.545,9.541,13.068,16.081,0.704
0,Index,AI_VECTOR_CORE,8,76.763,8.38,9.595,15.701,0.517
0,ArgMaxV2,AI_VECTOR_CORE,4,74.963,18.621,18.741,19.041,0.505
0,GatherV3,AI_VECTOR_CORE,8,48.242,2.14,6.03,11.761,0.325
0,RmsNorm,AI_VECTOR_CORE,4,47.802,4.88,11.95,20.361,0.322
0,GatherV2,AI_VECTOR_CORE,4,43.602,10.261,10.901,11.581,0.293
0,Tile,AI_VECTOR_CORE,8,41.842,1.621,5.23,15.261,0.282
0,ZerosLike,AI_VECTOR_CORE,8,40.102,2.48,5.013,7.381,0.27
0,Add,AI_VECTOR_CORE,8,14.781,1.14,1.848,2.58,0.099
0,Fill,AI_VECTOR_CORE,8,7.98,0.9,0.997,1.08,0.054
0,Sub,AI_VECTOR_CORE,4,4.94,1.16,1.235,1.34,0.033
0,Equal,AI_VECTOR_CORE,2,4.86,2.36,2.43,2.5,0.033
