Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
P12/A/0001/allocate,,,257.422,385.3,0,0,0,0
P12/A/0002/pool_allocate,,,127.878,127.878,0,0,0,0
P12/A/0003/runner,,,9449.318,42053.524,0,4506.54,0,1716.252
aten::slice,,,17.865,24.488,0,0,0,0
aten::as_strided,,,6.623,6.623,0,0,0,0
aten::slice,,,2.239,4.857,0,0,0,0
aten::as_strided,,,2.618,2.618,0,0,0,0
aten::copy_,,,28.771,42.33,0,2.7005,0,0
acl_memcpy_host_to_device,,,13.559,13.559,2.7005,2.7005,0,0
aten::slice,,,3.272,4.025,0,0,0,0
aten::as_strided,,,0.753,0.753,0,0,0,0
aten::slice,,,0.795,1.198,0,0,0,0
aten::as_strided,,,0.403,0.403,0,0,0,0
aten::copy_,,,3.196,7.19,0,2.7,0,0
acl_memcpy_host_to_device,,,3.994,3.994,2.7,2.7,0,0
aten::slice,,,0.603,1.102,0,0,0,0
aten::as_strided,,,0.499,0.499,0,0,0,0
aten::slice,,,0.935,1.414,0,0,0,0
aten::as_strided,,,0.479,0.479,0,0,0,0
aten::copy_,,,2.617,5.009,0,2.68,0,0
acl_memcpy_host_to_device,,,2.392,2.392,2.68,2.68,0,0
aten::empty,,,12.365,12.365,0,0,0,0
aten::detach,,,2.43,2.43,0,0,0,0
aten::to,,,1.696,1.696,0,0,0,0
aten::resolve_conj,,,0.8,0.8,0,0,0,0
aten::resolve_neg,,,0.181,0.181,0,0,0,0
aten::to,,,1.977,28.557,0,3.14,0,0
aten::_to_copy,,,4.518,26.58,0,3.14,0,0
aten::empty_strided,,,10.362,15.35,0,0,0,0
empty_tensor,,,4.988,4.988,0,0,0,0
aten::copy_,,,3.723,6.712,0,3.14,0,0
acl_memcpy_host_to_device,,,2.989,2.989,3.14,3.14,0,0
aten::slice,,,1.125,1.828,0,0,0,0
aten::as_strided,,,0.703,0.703,0,0,0,0
aten::slice,,,0.521,0.954,0,0,0,0
aten::as_strided,,,0.433,0.433,0,0,0,0
aten::slice,,,3.5,3.768,0,0,0,0
aten::as_strided,,,0.268,0.268,0,0,0,0
record_event,,,4.462,4.462,0.02,0.02,0,0
aten::slice,,,1.036,2.139,0,0,0,0
aten::as_strided,,,1.103,1.103,0,0,0,0
aten::slice,,,2.754,3.27,0,0,0,0
aten::as_strided,,,0.516,0.516,0,0,0,0
aten::copy_,,,3.651,7.064,0,2.7205,0,0
acl_memcpy_host_to_device,,,3.413,3.413,2.7205,2.7205,0,0
aten::lift_fresh,,,0.848,0.848,0,0,0,0
aten::lift_fresh,,,0.183,0.183,0,0,0,0
aten::flatten,,,8.742,17.738,0,0,0,0
aten::view,,,8.996,8.996,0,0,0,0
aten::slice,,,1.36,1.811,0,0,0,0
aten::as_strided,,,0.451,0.451,0,0,0,0
aten::index_select,,,6.138,6.138,0,0,0,0
aten::copy_,,,4.883,8.162,0,2.72,0,0
acl_memcpy_host_to_device,,,3.279,3.279,2.72,2.72,0,0
aten::slice,,,0.905,1.193,0,0,0,0
aten::as_strided,,,0.288,0.288,0,0,0,0
aten::lift_fresh,,,0.124,0.124,0,0,0,0
aten::slice,,,0.8,2.628,0,0,0,0
aten::as_strided,,,1.828,1.828,0,0,0,0
aten::add,,,11.451,11.451,0,0,0,0
aten::slice,,,0.567,0.838,0,0,0,0
aten::as_strided,,,0.271,0.271,0,0,0,0
aten::fill_,,,3.878,3.878,0,0,0,0
aten::slice,,,0.659,1.305,0,0,0,0
aten::as_strided,,,0.646,0.646,0,0,0,0
aten::fill_,,,15.928,20.173,0,1.06,0,0
aclnnInplaceFillScalar,,,4.245,4.245,1.06,1.06,0,0
aten::slice,,,0.681,1.346,0,0,0,0
aten::as_strided,,,0.665,0.665,0,0,0,0
aten::slice,,,2.159,2.363,0,0,0,0
aten::as_strided,,,0.204,0.204,0,0,0,0
aten::copy_,,,3.449,17.407,0,2.8,0,0
acl_memcpy_host_to_device,,,13.958,13.958,2.8,2.8,0,0
aten::slice,,,0.683,0.923,0,0,0,0
aten::as_strided,,,0.24,0.24,0,0,0,0
aten::detach,,,1.366,1.366,0,0,0,0
aten::to,,,0.386,0.386,0,0,0,0
aten::resolve_conj,,,0.312,0.312,0,0,0,0
aten::resolve_neg,,,0.216,0.216,0,0,0,0
aten::slice,,,2.203,2.918,0,0,0,0
aten::as_strided,,,0.715,0.715,0,0,0,0
aten::slice,,,0.587,0.91,0,0,0,0
aten::as_strided,,,0.323,0.323,0,0,0,0
aten::copy_,,,0.271,0.271,0,0,0,0
aten::slice,,,0.656,1.081,0,0,0,0
aten::as_strided,,,0.425,0.425,0,0,0,0
aten::slice,,,0.549,0.746,0,0,0,0
aten::as_strided,,,0.197,0.197,0,0,0,0
aten::copy_,,,3.358,8.63,0,2.62,0,0
acl_memcpy_host_to_device,,,5.272,5.272,2.62,2.62,0,0
aten::fill_,,,2.922,5.644,0,0.94,0,0
aclnnInplaceFillScalar,,,2.722,2.722,0.94,0.94,0,0
aten::slice,,,0.646,1.044,0,0,0,0
aten::as_strided,,,0.398,0.398,0,0,0,0
aten::slice,,,0.537,0.681,0,0,0,0
aten::as_strided,,,0.144,0.144,0,0,0,0
aten::copy_,,,2.418,5.01,0,2.66,0,0
acl_memcpy_host_to_device,,,2.592,2.592,2.66,2.66,0,0
aten::slice,,,0.794,1.331,0,0,0,0
aten::as_strided,,,0.537,0.537,0,0,0,0
aten::slice,,,0.674,2.522,0,0,0,0
aten::as_strided,,,1.848,1.848,0,0,0,0
aten::copy_,,,2.739,5.468,0,2.88,0,0
acl_memcpy_host_to_device,,,2.729,2.729,2.88,2.88,0,0
aten::slice,,,1.381,1.693,0,0,0,0
aten::as_strided,,,0.312,0.312,0,0,0,0
aten::slice,,,0.615,1.007,0,0,0,0
aten::as_strided,,,0.392,0.392,0,0,0,0
aten::slice,,,0.439,0.664,0,0,0,0
aten::as_strided,,,0.225,0.225,0,0,0,0
aten::copy_,,,4.335,6.655,0,3.28,0,0
acl_memcpy_host_to_device,,,2.32,2.32,3.28,3.28,0,0
aten::slice,,,0.629,1.099,0,0,0,0
aten::as_strided,,,0.47,0.47,0,0,0,0
aten::slice,,,0.569,0.88,0,0,0,0
aten::as_strided,,,0.311,0.311,0,0,0,0
aten::copy_,,,2.372,3.552,0,2.88,0,0
