Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,ReshapeAndCacheOperation::Execute,926.413,96,9.65,7.924,38.996,10.592
host,acl,ReshapeAndCacheOperation::Setup,551.287,96,5.743,2.873,55.082,35.008
host,acl,Slice_Tiling,117.412,48,2.446,1.556,14.442,4.087
host,acl,aclmdlRICaptureGetInfo,87.322,242,0.361,0.087,1.26,0.065
host,acl,aclmdlRIExecuteAsync,471.049,50,9.421,8.237,14.698,1.408
host,acl,aclnnAdd,36.524,8,4.565,2.5,7.984,2.716
host,acl,aclnnAddRmsNormBias,492.395,96,5.129,4.164,10.833,0.863
host,acl,aclnnAddRmsNormBiasGetWorkspaceSize,494.482,96,5.151,2.472,13.656,4.758
host,acl,aclnnAddmm,268.488,48,5.593,4.49,7.664,0.652
host,acl,aclnnArgMax,29.691,4,7.423,6.283,8.718,0.869
host,acl,aclnnContiguous,542.485,48,11.302,9.113,38.405,20.245
host,acl,aclnnContiguousGetWorkspaceSize,1021.355,48,21.278,19.976,33.952,4.739
host,acl,aclnnEmbedding,10.356,2,5.178,4.788,5.568,0.152
host,acl,aclnnEqScalar,13.124,4,3.281,0.569,6.583,7.393
host,acl,aclnnGtScalar,53.168,8,6.646,4.801,10.981,3.519
host,acl,aclnnIndex,49.677,8,6.21,4.882,8.371,1.785
host,acl,aclnnIndexSelect,43.089,8,5.386,3.835,10.051,3.463
host,acl,aclnnInnerFusedInferAttentionScore,2454.351,96,25.566,16.394,90.408,93.988
host,acl,aclnnInnerFusedInferAttentionScoreGetWorkspaceSize,2233.687,96,23.268,8.975,62.785,186.475
host,acl,aclnnInplaceCopy,1173.76,366,3.207,0.763,10.277,3.921
host,acl,aclnnInplaceCopyGetWorkspaceSize,970.97,204,4.76,1.893,27.123,8.081
host,acl,aclnnInplaceFillScalar,67.55,20,3.377,0.332,21.202,24.519
host,acl,aclnnInplaceMaskedFillScalar,41.27,4,10.317,0.357,23.734,103.71
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,34.067,2,17.034,15.484,18.583,2.401
host,acl,aclnnInplaceZero,25.101,8,3.138,2.112,4.571,0.564
host,acl,aclnnMatmul,556.064,148,3.757,2.879,6.626,0.455
host,acl,aclnnRepeat,56.075,8,7.009,2.592,9.804,6.729
host,acl,aclnnRmsNorm,28.029,2,14.015,8.72,19.309,28.032
host,acl,aclnnRmsNormGetWorkspaceSize,33.803,2,16.902,9.524,24.279,54.428
host,acl,aclnnSubs,16.85,4,4.213,3.15,6.749,2.162
host,acl,aclnnSwiGlu,230.104,48,4.794,3.887,6.91,0.598
host,acl,aclnnSwiGluGetWorkspaceSize,132.442,48,2.759,2.342,4.473,0.178
host,acl,aclrtGetResInCurrentThread,215.678,992,0.217,0.095,1.878,0.036
host,acl,aclrtGetStreamAttribute,129.785,938,0.138,0.09,1.8,0.009
host,acl,aclrtLaunchKernelWithHostArgs,2808.749,778,3.61,1.036,36.502,16.134
host,acl,aclrtMemcpyAsync,389.142,154,2.527,0.896,10.782,2.836
host,acl,aclrtMemcpyAsyncWithCondition,9.672,4,2.418,1.986,2.826,0.107
host,acl,aclrtPointerGetAttributes,248.743,306,0.813,0.18,4.379,1.041
host,acl,aclrtQueryEventStatus,7.648,4,1.912,1.517,2.86,0.303
host,acl,aclrtRecordEvent,45.397,8,5.675,3.476,8.796,3.877
host,acl,aclrtSynchronizeDeviceWithTimeout,14.437,1,14.437,14.437,14.437,0
host,acl,aclrtSynchronizeEvent,34.005,4,8.501,7.791,10.475,1.302
host,node,launch,3776.381,936,4.035,1.339,39.299,15.208
