Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
P12/A/0001/allocate,,,265.042,408.51,0,0,0,0
P12/A/0002/pool_allocate,,,143.468,143.468,0,0,0,0
P12/A/0003/runner,,,5736.511,48356.794,0,4571.8859999999995,0,1727.3315
aten::slice,,,16.398,26.182,0,0,0,0
aten::as_strided,,,9.784,9.784,0,0,0,0
aten::slice,,,3.132,5.71,0,0,0,0
aten::as_strided,,,2.578,2.578,0,0,0,0
aten::copy_,,,27.35,35.327,0,2.78,0,0
acl_memcpy_host_to_device,,,7.977,7.977,2.78,2.78,0,0
aten::slice,,,0.869,1.489,0,0,0,0
aten::as_strided,,,0.62,0.62,0,0,0,0
aten::slice,,,1.044,1.432,0,0,0,0
aten::as_strided,,,0.388,0.388,0,0,0,0
aten::copy_,,,2.587,4.34,0,2.8,0,0
acl_memcpy_host_to_device,,,1.753,1.753,2.8,2.8,0,0
aten::slice,,,0.612,1.148,0,0,0,0
aten::as_strided,,,0.536,0.536,0,0,0,0
aten::slice,,,0.927,4.586,0,0,0,0
aten::as_strided,,,3.659,3.659,0,0,0,0
aten::copy_,,,2.536,10.925,0,2.76,0,0
acl_memcpy_host_to_device,,,8.389,8.389,2.76,2.76,0,0
aten::empty,,,12.219,12.219,0,0,0,0
aten::detach,,,1.791,1.791,0,0,0,0
aten::to,,,1.715,1.715,0,0,0,0
aten::resolve_conj,,,0.7,0.7,0,0,0,0
aten::resolve_neg,,,0.191,0.191,0,0,0,0
aten::to,,,1.4,29.061,0,3.18,0,0
aten::_to_copy,,,5.139,27.661,0,3.18,0,0
aten::empty_strided,,,8.997,16.529,0,0,0,0
empty_tensor,,,7.532,7.532,0,0,0,0
aten::copy_,,,3.393,5.993,0,3.18,0,0
acl_memcpy_host_to_device,,,2.6,2.6,3.18,3.18,0,0
aten::slice,,,1.041,1.811,0,0,0,0
aten::as_strided,,,0.77,0.77,0,0,0,0
aten::slice,,,0.54,0.945,0,0,0,0
aten::as_strided,,,0.405,0.405,0,0,0,0
aten::slice,,,0.531,0.946,0,0,0,0
aten::as_strided,,,0.415,0.415,0,0,0,0
record_event,,,3.392,3.392,0.02,0.02,0,0
aten::slice,,,0.841,1.839,0,0,0,0
aten::as_strided,,,0.998,0.998,0,0,0,0
aten::slice,,,0.597,1.216,0,0,0,0
aten::as_strided,,,0.619,0.619,0,0,0,0
aten::copy_,,,3.119,5.32,0,2.84,0,0
acl_memcpy_host_to_device,,,2.201,2.201,2.84,2.84,0,0
aten::lift_fresh,,,1.803,1.803,0,0,0,0
aten::lift_fresh,,,0.084,0.084,0,0,0,0
aten::flatten,,,8.427,12.277,0,0,0,0
aten::view,,,3.85,3.85,0,0,0,0
aten::slice,,,2.909,3.401,0,0,0,0
aten::as_strided,,,0.492,0.492,0,0,0,0
aten::index_select,,,6.175,6.175,0,0,0,0
aten::copy_,,,3.651,6.052,0,2.86,0,0
acl_memcpy_host_to_device,,,2.401,2.401,2.86,2.86,0,0
aten::slice,,,0.677,1.02,0,0,0,0
aten::as_strided,,,0.343,0.343,0,0,0,0
aten::lift_fresh,,,0.188,0.188,0,0,0,0
aten::slice,,,0.631,0.939,0,0,0,0
aten::as_strided,,,0.308,0.308,0,0,0,0
aten::add,,,13.667,13.667,0,0,0,0
aten::slice,,,0.801,1.031,0,0,0,0
aten::as_strided,,,0.23,0.23,0,0,0,0
aten::fill_,,,3.874,3.874,0,0,0,0
