Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,ReshapeAndCacheOperation::Execute,1681.619,96,17.517,9.242,40.651,23.151
host,acl,ReshapeAndCacheOperation::Setup,1310.525,96,13.651,5.146,62.794,72.705
host,acl,Slice_Tiling,322.462,48,6.718,2.25,19.968,10.321
host,acl,aclmdlRICaptureGetInfo,99.302,192,0.517,0.094,1.748,0.159
host,acl,aclnnAdd,42.071,8,5.259,3.792,7.505,1.367
host,acl,aclnnAddRmsNormBias,1409.305,192,7.34,4.24,32.368,6.695
host,acl,aclnnAddRmsNormBiasGetWorkspaceSize,946.401,192,4.929,2.25,13.071,3.969
host,acl,aclnnAddmm,755.849,96,7.873,4.988,40.01,13.215
host,acl,aclnnArgMax,36.784,4,9.196,7.498,10.792,2.523
host,acl,aclnnContiguous,1194.315,48,24.882,9.98,54.05,71.347
host,acl,aclnnContiguousGetWorkspaceSize,1181.771,48,24.62,21.056,56.448,32.772
host,acl,aclnnEmbedding,22.174,4,5.544,4.899,6.791,0.551
host,acl,aclnnEqScalar,17.024,4,4.256,0.706,11.392,18.737
host,acl,aclnnGtScalar,64.355,8,8.044,4.439,9.98,2.78
host,acl,aclnnIndex,63.483,8,7.935,6.082,9.351,1.471
host,acl,aclnnIndexSelect,46.807,8,5.851,3.292,8.805,3.83
host,acl,aclnnInnerFusedInferAttentionScore,4723.21,96,49.2,22.847,126.807,428.348
host,acl,aclnnInnerFusedInferAttentionScoreGetWorkspaceSize,2610.643,96,27.194,8.883,93.748,274.526
host,acl,aclnnInplaceCopy,1726.21,368,4.691,0.809,15.085,7.323
host,acl,aclnnInplaceCopyGetWorkspaceSize,1265.259,204,6.202,2.129,33.077,15.546
host,acl,aclnnInplaceFillScalar,102.538,20,5.127,0.478,31.855,51.599
host,acl,aclnnInplaceMaskedFillScalar,59.037,4,14.759,0.402,29.648,201.91
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,40.451,2,20.226,19.377,21.074,0.72
host,acl,aclnnInplaceZero,37.827,8,4.728,2.582,8.757,3.756
host,acl,aclnnMatmul,1474.821,292,5.051,2.951,14.225,2.386
host,acl,aclnnRepeat,51.341,8,6.418,2.628,11.676,7.962
host,acl,aclnnRmsNorm,57.083,4,14.271,10.146,23.164,27.009
host,acl,aclnnRmsNormGetWorkspaceSize,66.483,4,16.621,11.713,27.654,41.575
host,acl,aclnnSubs,24.352,4,6.088,4.422,7.678,1.327
host,acl,aclnnSwiGlu,614.992,96,6.406,4.221,10.169,1.71
host,acl,aclnnSwiGluGetWorkspaceSize,308.044,96,3.209,2.243,7.172,0.517
host,acl,aclrtGetResInCurrentThread,346.302,1284,0.27,0.097,2.157,0.052
host,acl,aclrtGetStreamAttribute,245.683,1280,0.192,0.091,1.555,0.012
host,acl,aclrtLaunchKernelWithHostArgs,5497.51,1168,4.707,0.876,62.645,46.857
host,acl,aclrtMemcpyAsync,624.543,154,4.055,1.194,26.479,7.008
host,acl,aclrtMemcpyAsyncWithCondition,16.258,4,4.065,3.187,4.844,0.398
host,acl,aclrtPointerGetAttributes,522.297,498,1.049,0.182,9.46,1.566
host,acl,aclrtQueryEventStatus,12.097,4,3.024,2.092,3.524,0.321
host,acl,aclrtRecordEvent,107.92,8,13.49,7.922,20.802,18.834
host,acl,aclrtSynchronizeDeviceWithTimeout,8.376,1,8.376,8.376,8.376,0
host,acl,aclrtSynchronizeEvent,44.925,4,11.231,10.08,12.59,0.8
host,node,launch,7570.672,1374,5.51,1.174,65.344,45.899
