Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,MatMulV2,AI_CORE,388,6263.493,5.28,16.143,239.87,41.544
0,FusedInferAttentionScore,MIX_AIC,96,2464.36,16.441,25.67,34.022,16.345
0,AddRmsNormBias,AI_VECTOR_CORE,192,1445.538,1.62,7.529,19.941,9.588
0,SwiGlu,AI_VECTOR_CORE,96,906.233,2.9,9.44,19.081,6.011
0,_triton_rope,AI_VECTOR_CORE,96,822.413,2.8,8.567,20.621,5.455
0,Slice,AI_VECTOR_CORE,196,549.698,2.22,2.805,4.14,3.646
0,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,96,519.341,1.46,5.41,14.041,3.445
0,_compute_slot_mapping_kernel,AI_VECTOR_CORE,4,480.78,119.985,120.195,120.325,3.189
0,token_bin_counts_and_mask_kernel,AI_VECTOR_CORE,6,406.436,64.783,67.739,72.823,2.696
0,apply_all_penalties_kernel,AI_VECTOR_CORE,4,305.992,76.003,76.498,76.963,2.03
0,Cast,AI_VECTOR_CORE,124,215.088,0.74,1.735,9.48,1.427
0,MaskedFill,AI_CPU,2,201.869,76.064,100.934,125.805,1.339
0,Greater,AI_VECTOR_CORE,8,106.824,10.401,13.353,16.481,0.709
0,ArgMaxV2,AI_VECTOR_CORE,4,74.884,18.661,18.721,18.841,0.497
0,Index,AI_VECTOR_CORE,8,72.602,8.921,9.075,9.581,0.482
0,GatherV3,AI_VECTOR_CORE,8,47.563,2.12,5.945,10.381,0.315
0,ZerosLike,AI_VECTOR_CORE,8,46.161,2.34,5.77,9.2,0.306
0,RmsNorm,AI_VECTOR_CORE,4,43.042,4.781,10.76,16.841,0.285
0,GatherV2,AI_VECTOR_CORE,4,37.142,9.241,9.286,9.361,0.246
0,Tile,AI_VECTOR_CORE,8,34.882,1.32,4.36,9.301,0.231
0,Add,AI_VECTOR_CORE,8,14.601,1.18,1.825,2.6,0.097
0,Fill,AI_VECTOR_CORE,8,8.04,0.84,1.005,1.2,0.053
0,Equal,AI_VECTOR_CORE,2,4.92,2.42,2.46,2.5,0.033
0,Sub,AI_VECTOR_CORE,4,4.9,1.14,1.225,1.32,0.033
