Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
P12/A/0001/allocate,,,316.981,922.567,0,0,0,0
P12/A/0002/pool_allocate,,,605.586,605.586,0,0,0,0
P12/A/0003/runner,,,4958.007,64770.357,0,4629.2609999999995,0,1744.189
aten::slice,,,24.867,36.927,0,0,0,0
aten::as_strided,,,12.06,12.06,0,0,0,0
aten::slice,,,2.382,5.814,0,0,0,0
aten::as_strided,,,3.432,3.432,0,0,0,0
aten::copy_,,,38.463,47.42,0,2.78,0,0
acl_memcpy_host_to_device,,,8.957,8.957,2.78,2.78,0,0
aten::slice,,,1.256,1.957,0,0,0,0
aten::as_strided,,,0.701,0.701,0,0,0,0
aten::slice,,,1.075,1.544,0,0,0,0
aten::as_strided,,,0.469,0.469,0,0,0,0
aten::copy_,,,2.573,3.703,0,2.82,0,0
acl_memcpy_host_to_device,,,1.13,1.13,2.82,2.82,0,0
aten::slice,,,0.58,1.003,0,0,0,0
aten::as_strided,,,0.423,0.423,0,0,0,0
aten::slice,,,4.051,7.086,0,0,0,0
aten::as_strided,,,3.035,3.035,0,0,0,0
aten::copy_,,,2.234,4.29,0,2.8,0,0
acl_memcpy_host_to_device,,,2.056,2.056,2.8,2.8,0,0
aten::empty,,,14.552,14.552,0,0,0,0
aten::detach,,,2.177,2.177,0,0,0,0
aten::to,,,2.428,2.428,0,0,0,0
aten::resolve_conj,,,1.132,1.132,0,0,0,0
aten::resolve_neg,,,0.236,0.236,0,0,0,0
aten::to,,,2.001,36.015,0,3.06,0,0
aten::_to_copy,,,5.998,34.014,0,3.06,0,0
aten::empty_strided,,,12.131,17.85,0,0,0,0
empty_tensor,,,5.719,5.719,0,0,0,0
aten::copy_,,,4.682,10.166,0,3.06,0,0
acl_memcpy_host_to_device,,,5.484,5.484,3.06,3.06,0,0
aten::slice,,,1.656,2.598,0,0,0,0
aten::as_strided,,,0.942,0.942,0,0,0,0
aten::slice,,,0.741,1.471,0,0,0,0
aten::as_strided,,,0.73,0.73,0,0,0,0
aten::slice,,,2.89,3.575,0,0,0,0
aten::as_strided,,,0.685,0.685,0,0,0,0
record_event,,,6.335,6.335,0.02,0.02,0,0
P12/A/0004/prepare,,,2298.246,4373.865,0,162.1465,0,0
P12/A/0005/buffer_copy,,,162.672,189.313,0,2.68,0,0
aten::slice,,,4.256,7.636,0,0,0,0
aten::as_strided,,,3.38,3.38,0,0,0,0
aten::slice,,,1.176,2.242,0,0,0,0
aten::as_strided,,,1.066,1.066,0,0,0,0
aten::copy_,,,11.515,16.763,0,2.68,0,0
acl_memcpy_host_to_device,,,5.248,5.248,2.68,2.68,0,0
aten::lift_fresh,,,3.38,3.38,0,0,0,0
aten::lift_fresh,,,0.112,0.112,0,0,0,0
aten::flatten,,,11.715,19.063,0,0,0,0
