Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,ReshapeAndCacheOperation::Execute,984.786,96,10.258,8.149,38.688,10.454
host,acl,ReshapeAndCacheOperation::Setup,522.104,96,5.439,2.925,51.482,26.839
host,acl,Slice_Tiling,129.186,48,2.691,1.775,11.522,2.621
host,acl,aclmdlRICaptureGetInfo,130.69,242,0.54,0.088,1.347,0.148
host,acl,aclmdlRIExecuteAsync,517.772,50,10.355,9.715,14.707,0.687
host,acl,aclnnAdd,28.031,8,3.504,2.522,4.633,0.512
host,acl,aclnnAddRmsNormBias,543.498,96,5.661,4.225,9.725,1.578
host,acl,aclnnAddRmsNormBiasGetWorkspaceSize,571.194,96,5.95,2.518,12.889,7.751
host,acl,aclnnAddmm,277.18,48,5.775,4.302,9.052,1.094
host,acl,aclnnArgMax,30.103,4,7.526,6.353,8.606,0.639
host,acl,aclnnContiguous,568.274,48,11.839,9.57,36.818,18.585
host,acl,aclnnContiguousGetWorkspaceSize,1106.995,48,23.062,22.254,38.891,5.387
host,acl,aclnnEmbedding,8.606,2,4.303,3.517,5.089,0.618
host,acl,aclnnEqScalar,19.916,4,4.979,0.657,10.855,19.781
host,acl,aclnnGtScalar,52.719,8,6.59,4.153,9.753,3.918
host,acl,aclnnIndex,50.952,8,6.369,4.726,7.959,1.359
host,acl,aclnnIndexSelect,47.325,8,5.916,3.934,8.52,2.611
host,acl,aclnnInnerFusedInferAttentionScore,2543.488,96,26.495,16.921,93.65,96.165
host,acl,aclnnInnerFusedInferAttentionScoreGetWorkspaceSize,2482.232,96,25.857,10.447,67.157,217.513
host,acl,aclnnInplaceCopy,1158.153,366,3.164,0.778,10.415,3.445
host,acl,aclnnInplaceCopyGetWorkspaceSize,1252.765,204,6.141,2.238,25.878,11.609
host,acl,aclnnInplaceFillScalar,58.767,20,2.938,0.376,17.064,15.282
host,acl,aclnnInplaceMaskedFillScalar,41.811,4,10.453,0.606,23.072,99.428
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,36.8,2,18.4,16.784,20.016,2.611
host,acl,aclnnInplaceZero,34.084,8,4.26,2.284,7.821,2.628
host,acl,aclnnMatmul,595.89,148,4.026,2.749,8.124,0.978
host,acl,aclnnRepeat,51.645,8,6.456,2.88,10.517,7.578
host,acl,aclnnRmsNorm,26.27,2,13.135,8.046,18.224,25.898
host,acl,aclnnRmsNormGetWorkspaceSize,34.764,2,17.382,10.934,23.83,41.577
host,acl,aclnnSubs,21.223,4,5.306,3.278,7.768,2.686
host,acl,aclnnSwiGlu,250.661,48,5.222,3.916,9.62,1.673
host,acl,aclnnSwiGluGetWorkspaceSize,147.158,48,3.066,2.657,5.261,0.138
host,acl,aclrtGetResInCurrentThread,265.49,992,0.268,0.096,1.958,0.081
host,acl,aclrtGetStreamAttribute,146.068,938,0.156,0.091,2.31,0.014
host,acl,aclrtLaunchKernelWithHostArgs,2966.962,778,3.814,1.003,40.859,17.352
host,acl,aclrtMemcpyAsync,339.844,154,2.207,1.157,9.72,1.08
host,acl,aclrtMemcpyAsyncWithCondition,11.151,4,2.788,2.153,3.625,0.281
host,acl,aclrtPointerGetAttributes,293.519,306,0.959,0.183,5.603,1.265
host,acl,aclrtQueryEventStatus,7.615,4,1.904,1.473,2.739,0.241
host,acl,aclrtRecordEvent,41.095,8,5.137,2.877,7.907,2.209
host,acl,aclrtSynchronizeDeviceWithTimeout,13.995,1,13.995,13.995,13.995,0
host,acl,aclrtSynchronizeEvent,33.917,4,8.479,7.952,9.025,0.161
host,node,launch,3984.877,936,4.257,1.237,43.742,16.566
