Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID
0,4294967295,1454,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1790177180885953.824	,1.020,0,1,0,NO,"""1;""",INT64;INT32,ND;ND,"""1""",INT32,ND,N/A
0,4294967295,1457,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1790177180886567.868	,0.960,612.980000,1,0,NO,"""1;""",INT64;INT32,ND;ND,"""1""",INT32,ND,N/A
0,4294967295,1462,46,aclnnIndex_IndexAiCore_Index,Index,dynamic,AI_VECTOR_CORE,1790177180887161.352	,11.720,592.540000,48,0,NO,"""1;1;1;126""",INT32;INT64;INT64;INT64,ND;ND;ND;ND,"""126""",INT32,ND,N/A
0,4294967295,1463,46,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1790177180887199.694	,1.180,26.780000,1,0,NO,"""126""",INT32,ND,"""126""",INT64,ND,N/A
0,4294967295,1464,46,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1790177180887202.334	,2.840,1.320000,1,0,NO,"""126;126""",INT64;INT64,ND;ND,"""126""",INT64,ND,N/A
0,4294967295,1466,46,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1790177180887252.356	,1.520,47.160000,1,0,NO,"""1;1""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A
0,4294967295,1468,46,_compute_slot_mapping_kernel,_compute_slot_mapping_kernel,static,AI_VECTOR_CORE,1790177180887660.692	,119.985,406.980000,2,0,YES,"""2;126;1,1""",2864699776;32620;INT32,ND;ND;ND,"""130""",INT64,ND,N/A
0,4294967295,1469,46,aclnnSubs_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1790177180887816.378	,1.260,35.765000,1,0,NO,"""1;""",INT32;INT32,ND;ND,"""1""",INT32,ND,N/A
0,4294967295,1471,46,aclnnIndexSelect_GatherV3AiCore_GatherV3,GatherV3,dynamic,AI_VECTOR_CORE,1790177180888757.356	,10.720,939.490000,48,0,NO,"""32768,64;126;1""",DT_BF16;INT64;INT64,ND;ND;ND,"""126,64""",DT_BF16,ND,N/A
0,4294967295,1472,46,aclnnRepeat_TileAiCore_Tile,Tile,dynamic,AI_VECTOR_CORE,1790177180888775.617	,9.460,7.530000,42,0,NO,"""126,2,32;3""",DT_BF16;INT64,NCL;ND,"""126,2,64""",DT_BF16,ND,N/A
0,4294967295,1473,46,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1790177180888809.218	,3.280,24.290000,12,0,NO,"""126,128;2;2""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""126,64""",DT_BF16,NCHW,N/A
0,4294967295,1474,46,aclnnIndexSelect_GatherV3AiCore_GatherV3,GatherV3,dynamic,AI_VECTOR_CORE,1790177180888812.518	,7.500,0.000000,48,0,NO,"""32768,64;126;1""",DT_BF16;INT64;INT64,ND;ND;ND,"""126,64""",DT_BF16,ND,N/A
0,4294967295,1475,46,aclnnRepeat_TileAiCore_Tile,Tile,dynamic,AI_VECTOR_CORE,1790177180888820.078	,4.780,0.000000,42,0,NO,"""126,2,32;3""",DT_BF16;INT64,NCL;ND,"""126,2,64""",DT_BF16,ND,N/A
0,4294967295,1476,46,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1790177180888841.219	,2.720,16.470000,12,0,NO,"""126,128;2;2""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""126,64""",DT_BF16,NCHW,N/A
0,4294967295,1477,46,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1790177180892975.144	,1.180,4131.280000,1,0,NO,"""126""",INT32,ND,"""126""",INT64,ND,N/A
0,4294967295,1478,46,aclnnEmbedding_GatherV2AiCore_GatherV2,GatherV2,dynamic,AI_VECTOR_CORE,1790177180892999.325	,9.381,22.820000,42,0,NO,"""151936,896;126;1""",DT_BF16;INT64;INT64,ND;ND;ND,"""126,896""",DT_BF16,ND,N/A
0,4294967295,1479,46,RmsNorm,RmsNorm,dynamic,AI_VECTOR_CORE,1790177180893095.869	,17.701,87.119000,42,0,NO,"""126,896;896""",DT_BF16;DT_BF16,ND;ND,"""126,896;126,1""",DT_BF16;FLOAT,ND;ND,N/A
0,4294967295,1480,46,aclnnAddmm_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1790177180893152.892	,1.240,39.549000,2,0,NO,"""1152""",DT_BF16,ND,"""1152""",FLOAT,ND,N/A
0,4294967295,1481,46,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1790177180893155.252	,13.300,1.010000,24,0,NO,"""126,896;1152,896;1152""",DT_BF16;DT_BF16;FLOAT,ND;ND;ND,"""126,1152""",DT_BF16,ND,N/A
0,4294967295,1482,46,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1790177180893217.014	,2.080,48.450000,12,0,NO,"""126,18,64;3;3""",DT_BF16;INT64;INT64,NCL;ND;ND,"""126,14,64""",DT_BF16,NCL,N/A
0,4294967295,1483,46,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1790177180893219.154	,2.620,0.170000,12,0,NO,"""126,18,64;3;3""",DT_BF16;INT64;INT64,NCL;ND;ND,"""126,2,64""",DT_BF16,NCL,N/A
0,4294967295,1484,46,_triton_rope,_triton_rope,static,AI_VECTOR_CORE,1790177180893433.143	,12.760,211.380000,48,0,YES,"""126,14,64;126,2,64;32768,64""",DT_BF16;32620;DT_BF16,ND;ND;ND,"""126,14,64;126,2,64""",DT_BF16;32620,ND;ND,N/A
0,4294967295,1485,46,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1790177180894306.658	,2.620,860.740000,12,0,NO,"""126,18,64;3;3""",DT_BF16;INT64;INT64,NCL;ND;ND,"""126,2,64""",DT_BF16,NCL,N/A
0,4294967295,1486,46,ReshapeAndCacheNdKernel,ReshapeAndCacheNdKernel,dynamic,AI_VECTOR_CORE,1790177180894407.422	,9.180,98.130000,48,0,NO,"""126,2,64;126,2,64;2,128,2,64;2,128,2,64;126""",DT_BF16;DT_BF16;DT_BF16;DT_BF16;INT32,ND;ND;ND;ND;ND,"""2,128,2,64;2,128,2,64""",DT_BF16;DT_BF16,ND;ND,N/A
0,4294967295,1487,46,aclnnContiguous_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1790177180894803.638	,2.440,387.070000,12,0,NO,"""126,18,64;3;3""",DT_BF16;INT64;INT64,NCL;ND;ND,"""126,2,64""",DT_BF16,NCL,N/A
0,4294967295,1488,46,FusedInferAttentionScore,FusedInferAttentionScore,dynamic,MIX_AIC,1790177180894858.260	,35.001,52.060000,24,48,NO,"""126,14,64;126,2,64;126,2,64;;2048,2048;1;1;;;;;;;;;;;;;;;;;;;;;;;;""",DT_BF16;DT_BF16;DT_BF16;DT_UNDEFINED;INT8;INT64;INT64;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED;DT_UNDEFINED,ND;ND;ND;NULL;ND;ND;ND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL,"""126,14,64;""",DT_BF16;FLOAT,ND;ND,0
0,4294967295,1490,46,aclnnMatmul_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1790177180895527.226	,8.001,633.999000,24,0,NO,"""126,896;896,896""",DT_BF16;DT_BF16,ND;ND,"""126,896""",DT_BF16,ND,N/A
0,4294967295,1491,46,AddRmsNormBias,AddRmsNormBias,dynamic,AI_VECTOR_CORE,1790177180895584.789	,18.040,49.499000,42,0,NO,"""126,896;126,896;896;""",DT_BF16;DT_BF16;DT_BF16;DT_UNDEFINED,ND;ND;ND;NULL,"""126,896;126,1;126,896""",DT_BF16;FLOAT;DT_BF16,ND;ND;ND,N/A
0,4294967295,1492,46,aclnnMatmul_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1790177180895607.130	,23.641,4.460000,22,0,NO,"""126,896;9728,896""",DT_BF16;DT_BF16,ND;ND,"""126,9728""",DT_BF16,ND,N/A
0,4294967295,1493,46,SwiGlu,SwiGlu,dynamic,AI_VECTOR_CORE,1790177180895651.851	,16.461,20.859000,48,0,NO,"""126,9728""",DT_BF16,ND,"""126,4864""",DT_BF16,ND,N/A
