Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,MatMulV2,AI_CORE,388,6746.332,7.281,17.387,237.31,43.283
0,FusedInferAttentionScore,MIX_AIC,96,2438.139,15.581,25.397,36.042,15.643
0,AddRmsNormBias,AI_VECTOR_CORE,192,1503.723,1.66,7.832,18.041,9.648
0,SwiGlu,AI_VECTOR_CORE,96,890.597,2.941,9.277,19.961,5.714
0,_triton_rope,AI_VECTOR_CORE,48,582.725,11.381,12.14,14.621,3.739
0,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,96,544.979,1.44,5.677,14.441,3.496
0,Slice,AI_VECTOR_CORE,196,542.258,2.04,2.767,4.04,3.479
0,_compute_slot_mapping_kernel,AI_VECTOR_CORE,4,480.62,119.985,120.155,120.305,3.084
0,token_bin_counts_and_mask_kernel,AI_VECTOR_CORE,6,422.757,66.483,70.459,74.643,2.712
0,apply_all_penalties_kernel,AI_VECTOR_CORE,4,305.713,75.803,76.428,77.064,1.961
0,MaskedFill,AI_CPU,2,244.99,76.863,122.495,168.127,1.572
0,Cast,AI_VECTOR_CORE,124,218.009,0.76,1.758,9.021,1.399
0,_triton_rope_1,AI_VECTOR_CORE,48,154.648,2.8,3.222,4,0.992
0,Greater,AI_VECTOR_CORE,8,107.425,10.121,13.428,16.541,0.689
0,Index,AI_VECTOR_CORE,8,82.764,8.041,10.346,15.441,0.531
0,ArgMaxV2,AI_VECTOR_CORE,4,74.943,18.621,18.736,18.861,0.481
0,GatherV3,AI_VECTOR_CORE,8,46.642,2.12,5.83,11.061,0.299
0,RmsNorm,AI_VECTOR_CORE,4,45.902,5.241,11.476,17.701,0.294
0,ZerosLike,AI_VECTOR_CORE,8,42.302,2.34,5.288,8.181,0.271
0,GatherV2,AI_VECTOR_CORE,4,40.082,9.201,10.021,10.781,0.257
0,Tile,AI_VECTOR_CORE,8,35.161,1.3,4.395,9.46,0.226
0,Add,AI_VECTOR_CORE,8,17.742,1.52,2.218,3.261,0.114
0,Fill,AI_VECTOR_CORE,8,7.92,0.92,0.99,1.06,0.051
0,Equal,AI_VECTOR_CORE,2,5.22,2.58,2.61,2.64,0.033
0,Sub,AI_VECTOR_CORE,4,5.04,1.22,1.26,1.32,0.032
