Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
P12/A/0001/allocate,,,256.405,380.62,0,0,0,0
P12/A/0002/pool_allocate,,,124.215,124.215,0,0,0,0
P12/A/0003/runner,,,4460.843,68688.159,0,4543.5605,0,1733.7715
aten::slice,,,17.296,26.38,0,0,0,0
aten::as_strided,,,9.084,9.084,0,0,0,0
aten::slice,,,2.449,4.987,0,0,0,0
aten::as_strided,,,2.538,2.538,0,0,0,0
aten::copy_,,,25.898,33.569,0,2.7,0,0
acl_memcpy_host_to_device,,,7.671,7.671,2.7,2.7,0,0
aten::slice,,,0.735,1.404,0,0,0,0
aten::as_strided,,,0.669,0.669,0,0,0,0
aten::slice,,,0.903,1.226,0,0,0,0
aten::as_strided,,,0.323,0.323,0,0,0,0
aten::copy_,,,2.954,4.823,0,2.7005,0,0
acl_memcpy_host_to_device,,,1.869,1.869,2.7005,2.7005,0,0
aten::slice,,,0.692,1.074,0,0,0,0
aten::as_strided,,,0.382,0.382,0,0,0,0
aten::slice,,,0.615,0.848,0,0,0,0
aten::as_strided,,,0.233,0.233,0,0,0,0
aten::copy_,,,4.838,6.445,0,2.7,0,0
acl_memcpy_host_to_device,,,1.607,1.607,2.7,2.7,0,0
aten::empty,,,11.864,11.864,0,0,0,0
aten::detach,,,1.763,1.763,0,0,0,0
aten::to,,,1.527,1.527,0,0,0,0
aten::resolve_conj,,,0.921,0.921,0,0,0,0
aten::resolve_neg,,,0.146,0.146,0,0,0,0
aten::to,,,1.353,36.718,0,3.1,0,0
aten::_to_copy,,,4.531,35.365,0,3.1,0,0
aten::empty_strided,,,9.475,14.215,0,0,0,0
empty_tensor,,,4.74,4.74,0,0,0,0
aten::copy_,,,3.289,16.619,0,3.1,0,0
acl_memcpy_host_to_device,,,13.33,13.33,3.1,3.1,0,0
aten::slice,,,0.971,1.74,0,0,0,0
aten::as_strided,,,0.769,0.769,0,0,0,0
aten::slice,,,0.619,1.201,0,0,0,0
aten::as_strided,,,0.582,0.582,0,0,0,0
aten::slice,,,0.542,0.915,0,0,0,0
aten::as_strided,,,0.373,0.373,0,0,0,0
record_event,,,3.628,3.628,0.02,0.02,0,0
P12/A/0004/prepare,,,1603.175,3019.561,0,164.3455,0,0
P12/A/0005/buffer_copy,,,127.797,147.653,0,2.66,0,0
aten::slice,,,3.472,5.89,0,0,0,0
aten::as_strided,,,2.418,2.418,0,0,0,0
aten::slice,,,0.763,1.676,0,0,0,0
aten::as_strided,,,0.913,0.913,0,0,0,0
aten::copy_,,,9.446,12.29,0,2.66,0,0
acl_memcpy_host_to_device,,,2.844,2.844,2.66,2.66,0,0
aten::lift_fresh,,,3.487,3.487,0,0,0,0
