layer,role,address,requested_bytes,allocator_block_bytes,reused_mapped_bytes,new_mapped_bytes,physical_calls
model.layers.0.self_attn.attn,K,20699522482176,387448832,387449344,5292032,398458880,19
model.layers.0.self_attn.attn,V,20699909947392,387448832,387449344,16285696,377487360,18
model.layers.1.self_attn.attn,K,20700297412608,387448832,387449344,6307840,398458880,19
model.layers.1.self_attn.attn,V,20700684877824,387448832,387449344,17301504,377487360,18
model.layers.2.self_attn.attn,K,20701072343040,387448832,387449344,7323648,398458880,19
model.layers.2.self_attn.attn,V,20701459808256,387448832,387449344,18317312,377487360,18
model.layers.3.self_attn.attn,K,20701847273472,387448832,387449344,8339456,398458880,19
model.layers.3.self_attn.attn,V,20702234738688,387448832,387449344,19333120,377487360,18
model.layers.4.self_attn.attn,K,20702622203904,387448832,387449344,9355264,398458880,19
model.layers.4.self_attn.attn,V,20703009669120,387448832,387449344,20348928,377487360,18
model.layers.5.self_attn.attn,K,20703397134336,387448832,387449344,10371072,377487360,18
model.layers.5.self_attn.attn,V,20703784599552,387448832,387449344,393216,398458880,19
model.layers.6.self_attn.attn,K,20704172064768,387448832,387449344,11386880,377487360,18
model.layers.6.self_attn.attn,V,20704559529984,387448832,387449344,1409024,398458880,19
model.layers.7.self_attn.attn,K,20704946995200,387448832,387449344,12402688,377487360,18
model.layers.7.self_attn.attn,V,20705334460416,387448832,387449344,2424832,398458880,19
model.layers.8.self_attn.attn,K,20705721925632,387448832,387449344,13418496,377487360,18
model.layers.8.self_attn.attn,V,20706109390848,387448832,387449344,3440640,398458880,19
model.layers.9.self_attn.attn,K,20706496856064,387448832,387449344,14434304,377487360,18
model.layers.9.self_attn.attn,V,20706884321280,387448832,387449344,4456448,398458880,19
model.layers.10.self_attn.attn,K,20707271786496,387448832,387449344,15450112,377487360,18
model.layers.10.self_attn.attn,V,20707659251712,387448832,387449344,5472256,398458880,19
model.layers.11.self_attn.attn,K,20708046716928,387448832,387449344,16465920,377487360,18
model.layers.11.self_attn.attn,V,20708434182144,387448832,387449344,6488064,398458880,19
model.layers.12.self_attn.attn,K,20708821647360,387448832,387449344,17481728,377487360,18
model.layers.12.self_attn.attn,V,20709209112576,387448832,387449344,7503872,398458880,19
model.layers.13.self_attn.attn,K,20709596577792,387448832,387449344,18497536,377487360,18
model.layers.13.self_attn.attn,V,20709984043008,387448832,387449344,8519680,398458880,19
model.layers.14.self_attn.attn,K,20710371508224,387448832,387449344,19513344,377487360,18
model.layers.14.self_attn.attn,V,20710758973440,387448832,387449344,9535488,398458880,19
model.layers.15.self_attn.attn,K,20711146438656,387448832,387449344,20529152,377487360,18
model.layers.15.self_attn.attn,V,20711533903872,387448832,387449344,10551296,377487360,18
model.layers.16.self_attn.attn,K,20711921369088,387448832,387449344,573440,398458880,19
model.layers.16.self_attn.attn,V,20712308834304,387448832,387449344,11567104,377487360,18
model.layers.17.self_attn.attn,K,20712696299520,387448832,387449344,1589248,398458880,19
model.layers.17.self_attn.attn,V,20713083764736,387448832,387449344,12582912,377487360,18
model.layers.18.self_attn.attn,K,20713471229952,387448832,387449344,2605056,398458880,19
model.layers.18.self_attn.attn,V,20713858695168,387448832,387449344,13598720,377487360,18
model.layers.19.self_attn.attn,K,20714246160384,387448832,387449344,3620864,398458880,19
model.layers.19.self_attn.attn,V,20714633625600,387448832,387449344,14614528,377487360,18
model.layers.20.self_attn.attn,K,20715021090816,387448832,387449344,4636672,398458880,19
model.layers.20.self_attn.attn,V,20715408556032,387448832,387449344,15630336,377487360,18
model.layers.21.self_attn.attn,K,20715796021248,387448832,387449344,5652480,398458880,19
model.layers.21.self_attn.attn,V,20716183486464,387448832,387449344,16646144,377487360,18
model.layers.22.self_attn.attn,K,20716570951680,387448832,387449344,6668288,398458880,19
model.layers.22.self_attn.attn,V,20716958416896,387448832,387449344,17661952,377487360,18
model.layers.23.self_attn.attn,K,20717345882112,387448832,387449344,7684096,398458880,19
model.layers.23.self_attn.attn,V,20717733347328,387448832,387449344,18677760,377487360,18
