Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,ReshapeAndCacheOperation::Execute,1025.639,96,10.684,9.091,35.422,8.119
host,acl,ReshapeAndCacheOperation::Setup,524.745,96,5.466,3.334,26.609,12.136
host,acl,Slice_Tiling,76.034,24,3.168,1.844,17.384,9.294
host,acl,aclmdlRICaptureGetInfo,81.811,192,0.426,0.084,1.448,0.117
host,acl,aclnnAdd,52.373,8,6.547,3.426,10.272,4.97
host,acl,aclnnAddRmsNormBias,1023.41,192,5.33,4.352,10.655,0.394
host,acl,aclnnAddRmsNormBiasGetWorkspaceSize,1249.15,192,6.506,4.479,14.943,1.807
host,acl,aclnnAddmm,612.253,96,6.378,5.497,14.496,1.022
host,acl,aclnnArgMax,31.351,4,7.838,6.608,8.892,0.67
host,acl,aclnnContiguous,315.05,24,13.127,10.027,42.396,39.593
host,acl,aclnnContiguousGetWorkspaceSize,567.176,24,23.632,22.518,39.403,10.9
host,acl,aclnnEmbedding,21.695,4,5.424,3.455,7.657,2.316
host,acl,aclnnEqScalar,27.032,4,6.758,0.737,10.984,18.131
host,acl,aclnnGtScalar,62.955,8,7.869,6.157,11.688,4.258
host,acl,aclnnIndex,53.68,8,6.71,4.537,10.538,3.773
host,acl,aclnnIndexSelect,46.485,8,5.811,4.823,7.893,0.814
host,acl,aclnnInnerFusedInferAttentionScore,2324.143,96,24.21,17.533,102.082,106.347
host,acl,aclnnInnerFusedInferAttentionScoreGetWorkspaceSize,1898.461,96,19.776,11.731,75.998,175.298
host,acl,aclnnInplaceCopy,898.015,296,3.034,0.814,11.522,2.928
host,acl,aclnnInplaceCopyGetWorkspaceSize,1511.43,206,7.337,2.35,30.542,18.647
host,acl,aclnnInplaceFillScalar,64.609,20,3.23,0.39,21.76,23.124
host,acl,aclnnInplaceMaskedFillScalar,62.459,4,15.615,0.51,22.092,77.015
host,acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,56.503,3,18.834,17.81,20.819,1.97
host,acl,aclnnInplaceZero,38.229,8,4.779,2.543,7.774,2.871
host,acl,aclnnMatmul,1092.736,292,3.742,2.874,8.9,0.371
host,acl,aclnnRepeat,36.318,8,4.54,3.049,8.304,3.941
host,acl,aclnnRmsNorm,35.455,4,8.864,6.047,14.91,12.52
host,acl,aclnnRmsNormGetWorkspaceSize,54.536,4,13.634,8.566,26.906,58.954
host,acl,aclnnSubs,18.383,4,4.596,3.559,6.157,0.944
host,acl,aclnnSwiGlu,456.118,96,4.751,4.178,8.125,0.485
host,acl,aclnnSwiGluGetWorkspaceSize,504.594,96,5.256,4.229,8.938,0.31
host,acl,aclrtGetResInCurrentThread,409.68,1242,0.33,0.092,1.704,0.068
host,acl,aclrtGetStreamAttribute,169.471,1184,0.143,0.086,1.779,0.004
host,acl,aclrtLaunchKernelWithHostArgs,3539.32,1072,3.302,1.093,36.495,12.514
host,acl,aclrtMemcpyAsync,342.754,153,2.24,1.367,7.332,0.644
host,acl,aclrtMemcpyAsyncWithCondition,10.805,4,2.701,2.29,3.575,0.26
host,acl,aclrtPointerGetAttributes,516.67,497,1.04,0.179,5.099,1.656
host,acl,aclrtQueryEventStatus,9.565,4,2.391,1.874,3.299,0.303
host,acl,aclrtRecordEvent,47.912,8,5.989,3.812,10.942,5.081
host,acl,aclrtSynchronizeDeviceWithTimeout,7.975,1,7.975,7.975,7.975,0
host,acl,aclrtSynchronizeEvent,40.661,4,10.165,8.546,13.596,4.259
host,node,launch,4692.904,1279,3.669,1.42,38.845,12.013
