Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
P13/672358/00033/runner,,,1630.53,81528.01,0,2821.511,0,1415.176
aten::slice,,,17.49,26.81,0,0,0,0
aten::as_strided,,,9.32,9.32,0,0,0,0
aten::slice,,,2.43,6.677,0,0,0,0
aten::as_strided,,,4.247,4.247,0,0,0,0
aten::copy_,,,31.415,40.699,0,2.76,0,0
acl_memcpy_host_to_device,,,9.284,9.284,2.76,2.76,0,0
aten::slice,,,0.98,1.867,0,0,0,0
aten::as_strided,,,0.887,0.887,0,0,0,0
aten::slice,,,0.922,1.329,0,0,0,0
aten::as_strided,,,0.407,0.407,0,0,0,0
aten::copy_,,,3.443,16.67,0,2.72,0,0
acl_memcpy_host_to_device,,,13.227,13.227,2.72,2.72,0,0
aten::slice,,,0.623,1.058,0,0,0,0
aten::as_strided,,,0.435,0.435,0,0,0,0
aten::slice,,,0.583,0.84,0,0,0,0
aten::as_strided,,,0.257,0.257,0,0,0,0
aten::copy_,,,2.182,3.94,0,2.66,0,0
acl_memcpy_host_to_device,,,1.758,1.758,2.66,2.66,0,0
aten::empty,,,14.387,14.387,0,0,0,0
aten::detach,,,2.017,2.017,0,0,0,0
aten::to,,,3.888,3.888,0,0,0,0
aten::resolve_conj,,,0.933,0.933,0,0,0,0
aten::resolve_neg,,,1.081,1.081,0,0,0,0
aten::to,,,1.471,30.534,0,2.821,0,0
aten::_to_copy,,,4.815,29.063,0,2.821,0,0
aten::empty_strided,,,12.625,18.152,0,0,0,0
empty_tensor,,,5.527,5.527,0,0,0,0
aten::copy_,,,3.387,6.096,0,2.821,0,0
acl_memcpy_host_to_device,,,2.709,2.709,2.821,2.821,0,0
aten::slice,,,0.871,1.676,0,0,0,0
aten::as_strided,,,0.805,0.805,0,0,0,0
aten::slice,,,1.694,2.285,0,0,0,0
aten::as_strided,,,0.591,0.591,0,0,0,0
aten::slice,,,2.762,3.123,0,0,0,0
aten::as_strided,,,0.361,0.361,0,0,0,0
record_event,,,3.326,3.326,0.02,0.02,0,0
P13/672358/00034/prepare,,,1132.539,2834.51,0,160.228,0,0
P13/672358/00035/buffer_copy,,,126.423,143.779,0,2.74,0,0
aten::slice,,,1.949,3.834,0,0,0,0
aten::as_strided,,,1.885,1.885,0,0,0,0
aten::slice,,,2.388,3.163,0,0,0,0
aten::as_strided,,,0.775,0.775,0,0,0,0
aten::copy_,,,6.668,10.359,0,2.74,0,0
acl_memcpy_host_to_device,,,3.691,3.691,2.74,2.74,0,0
aten::lift_fresh,,,1.363,1.363,0,0,0,0
aten::lift_fresh,,,0.099,0.099,0,0,0,0
aten::flatten,,,10.72,15.204,0,0,0,0
aten::view,,,4.484,4.484,0,0,0,0
aten::slice,,,1.267,2.277,0,0,0,0
aten::as_strided,,,1.01,1.01,0,0,0,0
aten::index_select,,,6.272,6.272,0,0,0,0
P13/672358/00036/buffer_copy,,,89.781,100.629,0,2.64,0,0
aten::copy_,,,7.747,10.848,0,2.64,0,0
acl_memcpy_host_to_device,,,3.101,3.101,2.64,2.64,0,0
aten::slice,,,1.385,1.982,0,0,0,0
aten::as_strided,,,0.597,0.597,0,0,0,0
aten::lift_fresh,,,0.241,0.241,0,0,0,0
aten::slice,,,0.69,0.914,0,0,0,0
aten::as_strided,,,0.224,0.224,0,0,0,0
aten::add,,,12.358,12.358,0,0,0,0
aten::slice,,,0.55,0.848,0,0,0,0
aten::as_strided,,,0.298,0.298,0,0,0,0
aten::fill_,,,3.93,3.93,0,0,0,0
aten::slice,,,0.708,2.073,0,0,0,0
