Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnAdd,4.871,1,4.871,4.871,4.871,0
host,acl,aclnnAdds,39.954,1,39.954,39.954,39.954,0
host,acl,aclnnMuls,6.33,1,6.33,6.33,6.33,0
host,acl,aclrtGetStreamAttribute,2.07,3,0.69,0.133,1.755,0.568
host,acl,aclrtLaunchKernelWithHostArgs,20.341,3,6.78,2.971,13.705,24.056
host,acl,aclrtRecordEvent,16.45,3,5.483,2.431,10.42,12.413
host,acl,aclrtStreamWaitEvent,8.337,2,4.169,2.043,6.294,4.518
host,acl,aclrtSynchronizeDeviceWithTimeout,10.561,1,10.561,10.561,10.561,0
host,acl,aclrtSynchronizeEvent,15.966,1,15.966,15.966,15.966,0
host,node,launch,28.691,3,9.564,3.499,20.879,64.129
