Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
P15/produce_y,,,77.67,158.169,0,7.601,0,0
aten::add,"256,256;
;
;
256,256",,62.626,80.499,0,7.601,0,0
aten::item,,,4.711,7.225,0,0,0,0
aten::_local_scalar_dense,,,2.514,2.514,0,0,0,0
aclnnAdds,,,10.648,10.648,7.601,7.601,0,0
P15/record_1,,,99.902,127.802,0,0.02,0,0
Event::record,,,17.216,27.9,0,0.02,0,0
record_event,,,10.684,10.684,0.02,0.02,0,0
P15/wait_1,,,17.963,34.196,0,0.02,0,0
Event::wait,,,13.223,16.233,0,0.02,0,0
wait_event,,,3.01,3.01,0.02,0.02,0,0
P15/consume_y,,,18.491,35.991,0,7.44,0,0
aten::mul,"256,256;
;
256,256",,12.174,17.5,0,7.44,0,0
aten::item,,,0.603,1.018,0,0,0,0
aten::_local_scalar_dense,,,0.415,0.415,0,0,0,0
aclnnMuls,,,4.308,4.308,7.44,7.44,0,0
P15/record_2,,,40.366,52.186,0,0.02,0,0
Event::record,,,9.305,11.82,0,0.02,0,0
record_event,,,2.515,2.515,0.02,0.02,0,0
P15/wait_2,,,14.86,28.475,0,0.02,0,0
Event::wait,,,10.631,13.615,0,0.02,0,0
wait_event,,,2.984,2.984,0.02,0.02,0,0
P15/consume_z,,,12.46,21.706,0,8.92,0,0
aten::add,"256,256;
256,256;
;
256,256",,6.904,9.246,0,8.92,0,0
aclnnAdd,,,2.342,2.342,8.92,8.92,0,0
P15/record_3,,,45.136,56.576,0,0.02,0,0
Event::record,,,8.726,11.44,0,0.02,0,0
record_event,,,2.714,2.714,0.02,0.02,0,0
P15/host_wait_3,,,14.247,46.962,0,0,0,0
Event::synchronize,,,32.715,32.715,0,0,0,0
