Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnAll,55.025,15,3.668,3.228,6.41,0.569
host,acl,aclnnEqScalar,100.294,27,3.715,2.822,5.684,0.291
host,acl,aclnnInplaceFillScalar,58.838,12,4.903,2.296,23.362,31.4
host,acl,aclnnMm,167.31,36,4.648,3.726,7.93,0.83
host,acl,aclnnMuls,157.418,45,3.498,2.387,10.276,1.79
host,acl,aclnnNeScalar,58.249,12,4.854,3.585,10.638,3.795
host,acl,aclnnReduceSum,67.266,12,5.605,4.645,10.575,2.432
host,acl,aclrtGetHardwareSyncAddr,12.99,63,0.206,0.123,0.52,0.005
host,acl,aclrtGetStreamAttribute,21.577,159,0.136,0.079,0.911,0.006
host,acl,aclrtLaunchKernelWithHostArgs,396.935,183,2.169,0.973,10.568,1.138
host,acl,aclrtMemcpy,279.954,33,8.483,6.511,20.896,7.069
host,acl,aclrtRecordEvent,61.743,21,2.94,1.918,7.082,1.745
host,acl,aclrtStreamWaitEvent,7.542,3,2.514,2.122,3.233,0.259
host,acl,aclrtSynchronizeDeviceWithTimeout,301.764,13,23.213,4.61,47.169,320.846
host,acl,aclrtSynchronizeEvent,28056.195,21,1336.009,0.206,4675.523,4398687.698
host,acl,aclrtSynchronizeStream,3.677,6,0.613,0.54,0.815,0.009
host,acl,aclrtSynchronizeStreamWithTimeout,37172.393,27,1376.755,31.891,2845.37,1717140.057
host,node,launch,473.447,183,2.587,1.184,12.546,1.517
