Step Id,Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
1,0,4294967295,274,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1790274065633453.083	,15.401,0,48,0,NO,"""2;""",INT64;FLOAT16,ND;ND,"""4096,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.139,1135249,1.695,0.129,0.574,0.044,0.115,0.009,8.84,0.673,0.065,0.000
1,0,4294967295,275,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1790274065633468.504	,13.500,0.099000,48,0,NO,"""2;""",INT64;FLOAT16,ND;ND,"""4096,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.783,931664,1.695,0.157,3.088,0.286,0.7,0.065,7.026,0.652,0.0,0.000
1,0,4294967295,112,44,aclnnMm_MatMulV3Common_MatMulV3,MatMulV3,dynamic,AI_CORE,1790274065633607.129	,753.670,125.250000,24,0,NO,"""4096,4096;4096,4096""",FLOAT16;FLOAT16,ND;ND,"""4096,4096""",FLOAT16,ND,N/A,700.31,30253411,394.871,0.564,172.119,0.246,326.834,0.467,661.047,0.944,105.909,0.151,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.920
1,0,4294967295,112,42,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1790274065633993.105	,601.224,0.000000,48,0,NO,"""67108864;""",FLOAT;FLOAT,ND;ND,"""67108864""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.847,49234763,15.512,0.027,8.749,0.015,565.47,0.992,124.827,0.219,0.004,0.000
1,0,4294967295,113,44,aclnnMm_MatMulV3Common_MatMulV3,MatMulV3,dynamic,AI_CORE,1790274065634360.819	,1812.733,0.000000,24,0,NO,"""4096,4096;4096,4096""",FLOAT16;FLOAT16,ND;ND,"""4096,4096""",FLOAT16,ND,N/A,1477.844,63842848,399.73,0.27,185.389,0.125,284.725,0.193,1469.387,0.994,210.163,0.142,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.526
1,0,4294967295,113,42,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1790274065634594.349	,563.522,0.000000,48,0,NO,"""67108864;""",FLOAT;FLOAT,ND;ND,"""67108864""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.127,47098948,15.512,0.028,10.126,0.019,541.828,0.994,75.587,0.139,0.0,0.000
1,0,4294967295,114,42,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1790274065635157.891	,561.783,0.228000,48,0,NO,"""67108864;""",FLOAT;FLOAT,ND;ND,"""67108864""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.692,46542959,15.512,0.029,10.497,0.019,535.023,0.993,76.251,0.142,0.0,0.000
1,0,4294967295,115,42,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1790274065635719.714	,542.741,0.000000,48,0,NO,"""67108864;""",FLOAT;FLOAT,ND;ND,"""67108864""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.997,35942148,15.512,0.037,10.505,0.025,412.215,0.991,125.089,0.301,0.0,0.000
1,0,4294967295,114,44,aclnnMm_MatMulV3Common_MatMulV3,MatMulV3,dynamic,AI_CORE,1790274065636173.572	,1271.491,0.000000,24,0,NO,"""4096,4096;4096,4096""",FLOAT16;FLOAT16,ND;ND,"""4096,4096""",FLOAT16,ND,N/A,1232.044,53224322,398.873,0.324,182.451,0.148,293.409,0.238,1216.487,0.987,164.962,0.134,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.898
1,0,4294967295,116,42,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1790274065636262.495	,547.982,0.000000,48,0,NO,"""67108864;""",FLOAT;FLOAT,ND;ND,"""67108864""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.17,45806703,15.512,0.029,10.141,0.019,526.857,0.994,77.351,0.146,0.0,0.000
