Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::fill_,"4096,4096;
",,36.334,42.952,0,15.401,0,0
aclnnInplaceFillScalar,,,6.618,6.618,15.401,15.401,0,0
aten::fill_,"4096,4096;
",,2.367,3.264,0,13.5,0,0
aclnnInplaceFillScalar,,,0.897,0.897,13.5,13.5,0,0
P16Dep/trace-00-event_wait/backlog-00,,,40.119,68.164,0,753.67,0,753.67
aten::mm,"4096,4096;
4096,4096;
4096,4096",,25.629,28.045,0,753.67,0,753.67
aclnnMm,,,2.416,2.416,753.67,753.67,753.67,753.67
P16Dep/trace-00-event_wait/backlog-01,,,19.166,28.106,0,1812.733,0,1812.733
aten::mm,"4096,4096;
4096,4096;
4096,4096",,6.505,8.94,0,1812.733,0,1812.733
aclnnMm,,,2.435,2.435,1812.733,1812.733,1812.733,1812.733
P16Dep/trace-00-event_wait/backlog-02,,,12.823,18.628,0,1271.491,0,1271.491
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.694,5.805,0,1271.491,0,1271.491
aclnnMm,,,2.111,2.111,1271.491,1271.491,1271.491,1271.491
P16Dep/trace-00-event_wait/backlog-03,,,13.017,25.287,0,427.297,0,427.297
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.364,12.27,0,427.297,0,427.297
aclnnMm,,,7.906,7.906,427.297,427.297,427.297,427.297
P16Dep/trace-00-event_wait/backlog-04,,,14.15,21.278,0,425.417,0,425.417
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.848,7.128,0,425.417,0,425.417
aclnnMm,,,3.28,3.28,425.417,425.417,425.417,425.417
P16Dep/trace-00-event_wait/produce-Y,,,11.112,16.981,0,427.957,0,427.957
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.327,5.869,0,427.957,0,427.957
aclnnMm,,,2.542,2.542,427.957,427.957,427.957,427.957
P16Dep/trace-00-event_wait/record-A,,,17.795,32.818,0,0.02,0,0
Event::record,,,11.632,15.023,0,0.02,0,0
record_event,,,3.391,3.391,0.02,0.02,0,0
P16Dep/trace-00-event_wait/wait-A,,,15.338,29.093,0,4863.835,0,0
Event::wait,,,10.532,13.755,0,4863.835,0,0
wait_event,,,3.223,3.223,4863.835,4863.835,0,0
P16Dep/trace-00-event_wait/consume-Y,,,21.593,38.75,0,19.481,0,0
aten::mul,"4096,4096;
;
4096,4096",,10.314,17.157,0,19.481,0,0
aten::item,,,2.929,4.769,0,0,0,0
aten::_local_scalar_dense,,,1.84,1.84,0,0,0,0
aclnnMuls,,,2.074,2.074,19.481,19.481,0,0
P16Dep/trace-00-event_wait/record-B,,,13.709,24.284,0,0.02,0,0
Event::record,,,8.01,10.575,0,0.02,0,0
record_event,,,2.565,2.565,0.02,0.02,0,0
P16Dep/trace-00-event_wait/independent-00,,,16.168,23.133,0,601.224,0,0
aten::mul,"67108864;
;
67108864",,3.933,6.965,0,601.224,0,0
aten::item,,,0.359,0.886,0,0,0,0
aten::_local_scalar_dense,,,0.527,0.527,0,0,0,0
aclnnMuls,,,2.146,2.146,601.224,601.224,0,0
P16Dep/trace-00-event_wait/independent-01,,,12.912,22.326,0,563.522,0,0
aten::mul,"67108864;
;
67108864",,2.664,9.414,0,563.522,0,0
aten::item,,,0.255,0.389,0,0,0,0
aten::_local_scalar_dense,,,0.134,0.134,0,0,0,0
aclnnMuls,,,6.361,6.361,563.522,563.522,0,0
