Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnAll,64.748,12,5.396,3.768,15.577,9.852
host,acl,aclnnEqScalar,94.785,12,7.899,3.948,38.282,85.254
host,acl,aclnnMm,277.479,36,7.708,4.492,80.636,154.865
host,acl,aclnnMuls,152.746,36,4.243,2.743,22.716,10.84
host,acl,aclrtCreateEventExWithFlag,18.567,9,2.063,0.57,5.278,3.088
host,acl,aclrtDestroyEvent,12.026,9,1.336,0.308,5.672,2.48
host,acl,aclrtGetHardwareSyncAddr,11.566,48,0.241,0.124,2.828,0.145
host,acl,aclrtGetStreamAttribute,15.639,96,0.163,0.088,1.875,0.039
host,acl,aclrtLaunchKernelWithHostArgs,341.793,96,3.56,1.667,48.235,22.774
host,acl,aclrtMemcpy,132.772,12,11.064,8.078,25.74,22.547
host,acl,aclrtRecordEvent,44.74,9,4.971,2.046,20.057,29.091
host,acl,aclrtSynchronizeDeviceWithTimeout,55.612,7,7.945,4.682,24.644,46.729
host,acl,aclrtSynchronizeEvent,27138.595,9,3015.399,0.305,4680.248,4555121.989
host,acl,aclrtSynchronizeStreamWithTimeout,2852.748,12,237.729,36.596,418.648,29924.285
host,node,launch,422.837,96,4.405,1.948,60.364,38.479
