Step Id,Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
1,0,4294967295,20,44,aclnnMm_MatMulV3Common_MatMulV3,MatMulV3,dynamic,AI_CORE,1790271762145388.159	,439.718,0,24,0,NO,"""4096,4096;4096,4096""",FLOAT16;FLOAT16,ND;ND,"""4096,4096""",FLOAT16,ND,N/A,425.656,18388331,394.0,0.926,170.1,0.4,336.301,0.79,378.961,0.89,62.82,0.148,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.802
1,0,4294967295,21,44,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1790271762145827.897	,397.616,0.032000,48,0,NO,"""67108864;""",FLOAT;FLOAT,ND;ND,"""67108864""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.574,34091164,15.512,0.039,9.048,0.023,388.262,0.984,203.796,0.516,0.004,0.000
1,0,4294967295,22,44,aclnnMm_MatMulV3Common_MatMulV3,MatMulV3,dynamic,AI_CORE,1790271762146225.533	,449.198,0.000000,24,0,NO,"""4096,4096;4096,4096""",FLOAT16;FLOAT16,ND;ND,"""4096,4096""",FLOAT16,ND,N/A,435.114,18796906,394.026,0.906,170.89,0.393,335.903,0.772,387.576,0.891,63.461,0.146,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.865
1,0,4294967295,23,44,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1790271762146674.751	,427.617,0.052000,48,0,NO,"""67108864;""",FLOAT;FLOAT,ND;ND,"""67108864""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.951,36715786,15.512,0.037,10.879,0.026,420.049,0.988,233.94,0.551,0.0,0.000
1,0,4294967295,24,44,aclnnMm_MatMulV3Common_MatMulV3,MatMulV3,dynamic,AI_CORE,1790271762147102.408	,450.578,0.133000,24,0,NO,"""4096,4096;4096,4096""",FLOAT16;FLOAT16,ND;ND,"""4096,4096""",FLOAT16,ND,N/A,434.512,18770915,393.984,0.907,169.979,0.391,335.721,0.773,388.682,0.895,63.633,0.146,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.434
1,0,4294967295,25,44,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1790271762147553.006	,426.877,0.000000,48,0,NO,"""67108864;""",FLOAT;FLOAT,ND;ND,"""67108864""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.533,36593241,15.512,0.037,10.356,0.024,419.3,0.99,231.779,0.547,0.0,0.000
1,0,4294967295,26,44,aclnnMm_MatMulV3Common_MatMulV3,MatMulV3,dynamic,AI_CORE,1790271762147979.903	,449.798,0.123000,24,0,NO,"""4096,4096;4096,4096""",FLOAT16;FLOAT16,ND;ND,"""4096,4096""",FLOAT16,ND,N/A,435.667,18820820,394.049,0.904,170.592,0.392,335.74,0.771,388.386,0.891,63.798,0.146,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.858
1,0,4294967295,27,44,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1790271762148429.721	,426.577,0.000000,48,0,NO,"""67108864;""",FLOAT;FLOAT,ND;ND,"""67108864""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.68,36605954,15.512,0.037,10.692,0.025,418.939,0.989,233.41,0.551,0.0,0.000
1,0,4294967295,28,44,aclnnMm_MatMulV3Common_MatMulV3,MatMulV3,dynamic,AI_CORE,1790271762148856.318	,450.338,0.000000,24,0,NO,"""4096,4096;4096,4096""",FLOAT16;FLOAT16,ND;ND,"""4096,4096""",FLOAT16,ND,N/A,434.837,18784970,394.05,0.906,169.915,0.391,336.061,0.773,387.698,0.892,63.895,0.147,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.558
1,0,4294967295,29,44,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1790271762149306.696	,425.917,0.162000,48,0,NO,"""67108864;""",FLOAT;FLOAT,ND;ND,"""67108864""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.124,36557874,15.512,0.037,10.346,0.024,418.932,0.99,231.998,0.548,0.0,0.000
1,0,4294967295,30,44,aclnnMm_MatMulV3Common_MatMulV3,MatMulV3,dynamic,AI_CORE,1790271762149732.633	,451.318,0.083000,24,0,NO,"""4096,4096;4096,4096""",FLOAT16;FLOAT16,ND;ND,"""4096,4096""",FLOAT16,ND,N/A,435.796,18826386,394.069,0.904,170.597,0.391,335.891,0.771,389.184,0.893,63.797,0.146,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.561
