Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
P16/01-serial/mm-00,,,58.251,160.778,0,439.718,0,439.718
aten::mm,"4096,4096;
4096,4096;
4096,4096",,88.035,102.527,0,439.718,0,439.718
aclnnMm,,,14.492,14.492,439.718,439.718,439.718,439.718
P16/01-serial/mul-00,,,115.64,143.402,0,397.616,0,0
aten::mul,"67108864;
;
67108864",,17.744,27.762,0,397.616,0,0
aten::item,,,3.81,6.145,0,0,0,0
aten::_local_scalar_dense,,,2.335,2.335,0,0,0,0
aclnnMuls,,,3.873,3.873,397.616,397.616,0,0
P16/01-serial/mm-01,,,16.803,26.014,0,449.198,0,449.198
aten::mm,"4096,4096;
4096,4096;
4096,4096",,7.493,9.211,0,449.198,0,449.198
aclnnMm,,,1.718,1.718,449.198,449.198,449.198,449.198
P16/01-serial/mul-01,,,15.162,21.933,0,427.617,0,0
aten::mul,"67108864;
;
67108864",,3.717,6.771,0,427.617,0,0
aten::item,,,0.504,0.717,0,0,0,0
aten::_local_scalar_dense,,,0.213,0.213,0,0,0,0
aclnnMuls,,,2.337,2.337,427.617,427.617,0,0
P16/01-serial/mm-02,,,22.932,33.33,0,450.578,0,450.578
aten::mm,"4096,4096;
4096,4096;
4096,4096",,5.388,10.398,0,450.578,0,450.578
aclnnMm,,,5.01,5.01,450.578,450.578,450.578,450.578
P16/01-serial/mul-02,,,14.316,20.726,0,426.877,0,0
aten::mul,"67108864;
;
67108864",,3.257,6.41,0,426.877,0,0
aten::item,,,0.274,0.534,0,0,0,0
aten::_local_scalar_dense,,,0.26,0.26,0,0,0,0
aclnnMuls,,,2.619,2.619,426.877,426.877,0,0
P16/01-serial/mm-03,,,14.028,21.175,0,449.798,0,449.798
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.701,7.147,0,449.798,0,449.798
aclnnMm,,,2.446,2.446,449.798,449.798,449.798,449.798
P16/01-serial/mul-03,,,13.932,19.683,0,426.577,0,0
aten::mul,"67108864;
;
67108864",,3.097,5.751,0,426.577,0,0
aten::item,,,0.26,0.405,0,0,0,0
aten::_local_scalar_dense,,,0.145,0.145,0,0,0,0
aclnnMuls,,,2.249,2.249,426.577,426.577,0,0
P16/01-serial/mm-04,,,24.114,34.605,0,450.338,0,450.338
aten::mm,"4096,4096;
4096,4096;
4096,4096",,5.187,10.491,0,450.338,0,450.338
aclnnMm,,,5.304,5.304,450.338,450.338,450.338,450.338
P16/01-serial/mul-04,,,14.438,21.136,0,425.917,0,0
aten::mul,"67108864;
;
67108864",,2.902,6.698,0,425.917,0,0
aten::item,,,0.279,0.529,0,0,0,0
aten::_local_scalar_dense,,,0.25,0.25,0,0,0,0
aclnnMuls,,,3.267,3.267,425.917,425.917,0,0
P16/01-serial/mm-05,,,24.871,32.367,0,451.318,0,451.318
