Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnAll,130.409,24,5.434,3.512,18.77,11.472
host,acl,aclnnEqScalar,103.572,24,4.316,3.217,7.207,0.856
host,acl,aclnnMm,418.653,72,5.815,4.469,50.179,28.176
host,acl,aclnnMuls,249.597,72,3.467,2.798,8.356,0.672
host,acl,aclrtGetHardwareSyncAddr,19.899,96,0.207,0.132,2.222,0.059
host,acl,aclrtGetStreamAttribute,31.47,192,0.164,0.08,1.577,0.034
host,acl,aclrtLaunchKernelWithHostArgs,577.655,192,3.009,1.694,21.897,3.011
host,acl,aclrtMemcpy,231.43,24,9.643,6.522,20.958,20.522
host,acl,aclrtMemcpyAsyncWithCondition,51.646,24,2.152,1.449,10.46,3.054
host,acl,aclrtPointerGetAttributes,26.411,24,1.1,0.524,4.575,0.78
host,acl,aclrtQueryEventStatus,17.493,8,2.187,1.429,4.532,0.902
host,acl,aclrtRecordEvent,65.975,24,2.749,1.995,12.356,4.081
host,acl,aclrtSynchronizeDeviceWithTimeout,42.076,4,10.519,5.862,22.811,50.608
host,acl,aclrtSynchronizeEvent,50945.984,12,4245.499,0.483,17340.075,36125767.283
host,acl,aclrtSynchronizeStreamWithTimeout,5237.467,24,218.228,48.076,426.638,24205.42
host,node,launch,677.138,192,3.527,1.97,30.23,5.612
