Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::fill_,"4;
",,35.343,35.343,0,0,0,0
aten::fill_,"4;
",,2.802,2.802,0,0,0,0
aten::fill_,"4;
",,1.136,1.136,0,0,0,0
aten::fill_,"4;
",,1.205,1.205,0,0,0,0
aten::fill_,"4;
",,1.011,1.011,0,0,0,0
aten::fill_,"4;
",,0.989,0.989,0,0,0,0
aten::fill_,"4;
",,1.029,1.029,0,0,0,0
aten::fill_,"4;
",,1.192,1.192,0,0,0,0
P16Sync/trace-per_round/r0/compute-mm-00,,,63.279,136.884,0,1583.323,0,1583.323
aten::mm,"4096,4096;
4096,4096;
4096,4096",,64.8,73.605,0,1583.323,0,1583.323
aclnnMm,,,8.805,8.805,1583.323,1583.323,1583.323,1583.323
P16Sync/trace-per_round/r0/compute-mul-00,,,39.021,64.328,0,511.22,0,0
aten::mul,"67108864;
;
67108864",,16.194,25.307,0,511.22,0,0
aten::item,,,3.928,6.573,0,0,0,0
aten::_local_scalar_dense,,,2.645,2.645,0,0,0,0
aclnnMuls,,,2.54,2.54,511.22,511.22,0,0
P16Sync/trace-per_round/r0/compute-mm-01,,,23.963,32.854,0,1552.982,0,1552.982
aten::mm,"4096,4096;
4096,4096;
4096,4096",,6.402,8.891,0,1552.982,0,1552.982
aclnnMm,,,2.489,2.489,1552.982,1552.982,1552.982,1552.982
P16Sync/trace-per_round/r0/compute-mul-01,,,15.053,22.96,0,565.183,0,0
aten::mul,"67108864;
;
67108864",,3.139,7.907,0,565.183,0,0
aten::item,,,0.366,1.958,0,0,0,0
aten::_local_scalar_dense,,,1.592,1.592,0,0,0,0
aclnnMuls,,,2.81,2.81,565.183,565.183,0,0
P16Sync/trace-per_round/r0/compute-mm-02,,,18.418,30.914,0,556.922,0,556.922
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.866,12.496,0,556.922,0,556.922
aclnnMm,,,7.63,7.63,556.922,556.922,556.922,556.922
P16Sync/trace-per_round/r0/compute-mul-02,,,13.241,18.983,0,550.282,0,0
aten::mul,"67108864;
;
67108864",,2.852,5.742,0,550.282,0,0
aten::item,,,0.441,0.793,0,0,0,0
aten::_local_scalar_dense,,,0.352,0.352,0,0,0,0
aclnnMuls,,,2.097,2.097,550.282,550.282,0,0
P16Sync/trace-per_round/r0/compute-mm-03,,,12.512,19.005,0,426.737,0,426.737
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.098,6.493,0,426.737,0,426.737
aclnnMm,,,2.395,2.395,426.737,426.737,426.737,426.737
P16Sync/trace-per_round/r0/compute-mul-03,,,12.301,17.734,0,560.282,0,0
aten::mul,"67108864;
;
67108864",,2.546,5.433,0,560.282,0,0
aten::item,,,0.3,0.569,0,0,0,0
aten::_local_scalar_dense,,,0.269,0.269,0,0,0,0
aclnnMuls,,,2.318,2.318,560.282,560.282,0,0
P16Sync/trace-per_round/r0/compute-mm-04,,,23.623,29.817,0,428.417,0,428.417
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.037,6.194,0,428.417,0,428.417
aclnnMm,,,2.157,2.157,428.417,428.417,428.417,428.417
P16Sync/trace-per_round/r0/compute-mul-04,,,13.782,20.534,0,563.163,0,0
aten::mul,"67108864;
;
67108864",,4.134,6.752,0,563.163,0,0
aten::item,,,0.284,0.49,0,0,0,0
aten::_local_scalar_dense,,,0.206,0.206,0,0,0,0
aclnnMuls,,,2.128,2.128,563.163,563.163,0,0
P16Sync/trace-per_round/r0/compute-mm-05,,,12.417,18.992,0,427.117,0,427.117
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.769,6.575,0,427.117,0,427.117
aclnnMm,,,2.806,2.806,427.117,427.117,427.117,427.117
P16Sync/trace-per_round/r0/compute-mul-05,,,12.659,21.944,0,537.821,0,0
aten::mul,"67108864;
;
67108864",,2.673,9.285,0,537.821,0,0
aten::item,,,0.353,1.017,0,0,0,0
aten::_local_scalar_dense,,,0.664,0.664,0,0,0,0
aclnnMuls,,,5.595,5.595,537.821,537.821,0,0
